N	3gram	Tiupa_Hudo	Marksizm
1	с точки зрения	3	46
2	не может быть	4	25
3	в самом деле	2	19
4	в то же	7	15
5	по отношению к	10	15
6	то же время	7	15
7	в связи с	3	14
8	в том что	8	14
9	бы то ни	2	12
10	то ни было	2	12
11	для того чтобы	5	11
12	в отличие от	7	10
13	одного и того	3	9
14	и того же	3	9
15	может быть и	2	8
16	в отношении к	2	8
17	с другой стороны	6	7
18	в свою очередь	2	7
19	всех без исключения	3	6
20	с одной стороны	3	6
21	той или иной	5	5
22	в таком случае	2	5
23	к тому что	2	5
24	и прежде всего	2	4
25	том что он	2	4
26	можно сказать что	3	4
27	и то же	3	3
28	тем не менее	3	3
29	более или менее	6	3
30	в данном контексте	2	3
31	в том числе	3	3
32	одно и то	3	3
33	в данный момент	2	3
34	том числе и	2	3
35	в значительной степени	2	3
36	в той или	2	3
37	внутренней и внешней	2	2
38	в коем случае	2	2
39	до известной степени	2	2
40	отношение знака к	3	2
41	ни в коем	2	2
42	в противном случае	2	2
43	и в самом	3	2
44	сама по себе	2	2
45	тот или иной	3	2
46	в знаковом материале	3	2
47	ту или иную	2	2
48	так или иначе	4	2
49	в этом смысле	3	2
50	того или иного	4	2
