N	3gram	Tiupa_Vved	Narrotol
1	в том что	10	18
2	в данном случае	15	17
3	не только в	3	13
4	по отношению к	11	11
5	дамы с собачкой	8	11
6	даме с собачкой	4	11
7	в отличие от	11	11
8	о том что	6	9
9	в даме с	4	9
10	к тому же	6	9
11	не сводится к	6	8
12	в то же	5	8
13	той или иной	4	8
14	тем не менее	3	8
15	в этом отношении	7	8
16	в соответствии с	8	8
17	то же время	4	8
18	с анной сергеевной	3	8
19	не может быть	6	8
20	по большей части	4	8
21	и тем самым	2	6
22	коммуникативного события рассказывания	4	6
23	с одной стороны	9	6
24	состоит в том	2	6
25	мы имеем дело	5	6
26	но при этом	3	5
27	на самом деле	4	5
28	и все же	6	5
29	подобно тому как	3	5
30	нарративная картина мира	6	5
31	но и в	3	5
32	имеем дело с	4	5
33	и вследствие этого	4	5
34	в свою очередь	5	5
35	в данном рассказе	4	4
36	кадры ментального видения	4	4
37	начало и конец	2	4
38	войны и мира	5	4
39	в современной нарратологии	4	4
40	во всяком случае	3	4
41	в конечном счете	2	4
42	у нас нет	2	4
43	свидетеля и судии	5	4
44	между детьми и	4	3
45	так и не	4	3
46	то же самое	2	3
47	свидетель и судия	2	3
48	речь идет о	3	3
49	в модальности знания	3	3
50	что у нее	2	3
51	в коммуникативном пространстве	3	3
52	тогда как в	2	3
53	двух или нескольких	3	3
54	которая состоит в	2	3
55	следует подчеркнуть что	5	3
56	присутствия в мире	2	3
57	при всей своей	3	3
58	в том как	2	3
59	а то и	2	3
60	началом и концом	2	3
61	вероятностной картины мира	3	3
62	по сути дела	4	3
63	заключает в себе	4	3
64	предвосхищаемое ответное слово	2	3
65	могла бы и	3	3
66	пока еще не	4	3
67	едва ли не	2	3
68	а также и	2	3
69	в самом деле	2	3
70	несет в себе	4	3
71	мальчик и девочка	2	3
72	обратим внимание на	2	3
73	на то что	2	3
74	собой своего рода	2	3
75	по природе своей	2	3
76	и представляет собой	4	3
77	а в том	3	3
78	не было и	2	3
79	друг на друга	2	3
80	человек в футляре	2	3
81	том как произойдет	2	2
82	события свидетель и	2	2
83	несколькими социально-языковыми кругозорами	2	2
84	из участников рассказываемой	2	2
85	первые два рассказчика	2	2
86	представляет собой некий	2	2
87	множественными виртуальными перспективами	2	2
88	сознания которое не	2	2
89	имплицитно заключает в	2	2
90	основной фактор событийности	2	2
91	разворачиваются в сердцевине	2	2
92	в строгом значении	2	2
93	актом рассказывания отмежеванная	2	2
94	в нашем сознании	2	2
95	и для нас	2	2
96	прецедентной картиной мира	4	2
97	прежде всего на	2	2
98	повествования с прецедентной	2	2
99	прецедентная картина мира	2	2
100	слово обращено к	2	2
101	не входит в	2	2
102	более или менее	2	2
103	а с другой	3	2
104	характерное свойство делающее	2	2
105	а во время	2	2
106	как модальность мнения	2	2
107	к наличной реальности	2	2
108	событийного опыта в	3	2
109	не зависит от	2	2
110	в сфере слова	2	2
111	своего и чужого	2	2
112	в смысловом отношении	2	2
113	тому или иному	2	2
114	этос желания в	2	2
115	мира такого рода	2	2
116	не все что	2	2
117	не в том	3	2
118	кругозор нарратора в	2	2
119	дистанция между двумя	2	2
120	с установкой на	2	2
121	папа и мама	2	2
122	возможного но неопределенного	2	2
123	истории в направлении	2	2
124	которая не может	2	2
125	в войне и	2	2
126	как бы в	2	2
127	важно не только	2	2
128	диегетического мира самим	2	2
129	рассказывания отмежеванная от	2	2
130	принадлежат взрослому голосу	2	2
131	у него сжалось	2	2
132	а не все	2	2
133	по своей природе	2	2
134	интрига представляет собой	2	2
135	завязка и развязка	2	2
136	сердцевине истории в	2	2
137	в той мере	2	2
138	правильно поставленный вопрос	3	2
139	предполагает со стороны	2	2
140	хотя и не	2	2
141	можно было бы	2	2
142	и в жизни	2	2
143	двумя или несколькими	2	2
144	мере в какой	2	2
145	самим актом рассказывания	2	2
146	как правило не	2	2
147	вероятностной картиной мира	4	2
148	человеческого присутствия в	2	2
149	или несколькими социально-языковыми	2	2
150	другим потому что	2	2
151	в частности в	2	2
152	событие рассказывания в	4	2
153	сердце у него	2	2
154	направлении возможного но	2	2
155	происходящего вокруг нас	2	2
156	исключительно в сфере	2	2
157	виртуальными перспективами которые	2	2
158	главное действующее лицо	2	2
159	с легкой руки	2	2
160	в сознании которого	2	2
161	[...] в нем	2	2
162	войне и мире	2	2
163	делающее его знаком	2	2
164	действующее лицо события	2	2
165	и по длительности	2	2
166	но неопределенного горизонта	2	2
167	в направлении возможного	2	2
168	в концовке рассказа	2	2
169	с прецедентной картиной	4	2
170	по этой причине	2	2
171	вольны в своих	2	2
172	может быть не	3	2
173	на этот раз	2	2
174	той мере в	2	2
175	вербализации нарративных структур	2	2
176	его знаком если	2	2
177	иначе говоря это	2	2
178	мира самим актом	2	2
179	которые разворачиваются в	2	2
180	сторона знака это	2	2
181	нарративные практики рассказывания	2	2
182	языковой картины мира	2	2
183	перспективами которые разворачиваются	2	2
184	кадров ментального видения	3	2
185	и чужого слова	2	2
186	весь зрительный образ	2	2
187	отношению к ним	2	2
188	плачут и долго	2	2
189	в диегетическом мире	3	2
190	на первый взгляд	3	2
191	между двумя или	2	2
192	в самом первом	2	2
193	в сердцевине истории	2	2
194	в современной культуре	2	2
195	события от сознания	2	2
196	событие самого рассказывания	2	2
197	мы и сами	2	2
198	и т.п и	2	2
199	лицо события свидетель	2	2
200	интенциональное содержание сознания	2	2
201	свойство делающее его	2	2
202	нести в себе	2	2
203	протекания нарративной истории	2	2
204	бы и не	2	2
205	модальности убеждения и	2	2
206	участников рассказываемой истории	2	2
207	в маркированном положении	3	2
208	семантических единиц текста	2	2
209	и долго думают	2	2
210	о них как	2	2
211	поименованное в тексте	2	2
