N	2gram	Propp_Morf	OGranits
1	и в	17	13
2	и его	3	12
3	прежде всего	14	9
4	и не	16	8
5	не может	19	8
6	может быть	61	8
7	и пр	45	7
8	и их	3	7
9	точки зрения	7	7
10	не только	8	6
11	мы должны	3	6
12	как бы	6	6
13	таким образом	26	6
14	только в	3	6
15	то что	10	6
16	все же	9	5
17	с точки	6	5
18	хотя бы	5	5
19	мы можем	5	4
20	но в	4	4
21	то же	10	4
22	но мы	3	4
23	не является	4	4
24	все это	2	4
25	было бы	5	4
26	вопроса о	3	4
27	мы не	8	4
28	и для	4	3
29	связана с	3	3
30	превращается в	2	3
31	вряд ли	2	3
32	с этим	14	3
33	отношению к	7	3
34	как и	4	3
35	в пределах	3	3
36	не в	3	3
37	говорить о	4	3
38	так как	20	3
39	поставить вопрос	2	3
40	что в	10	3
41	по отношению	7	3
42	но для	3	3
43	самом деле	4	3
44	так и	10	3
45	что же	2	3
46	в которой	3	3
47	в одном	2	3
48	здесь мы	3	3
49	но и	9	3
50	могут быть	21	2
51	мы видим	15	2
52	в этом	18	2
53	смысле слова	4	2
54	данном случае	2	2
55	в том	10	2
56	тем что	4	2
57	несмотря на	4	2
58	в целом	5	2
59	если бы	3	2
60	с одной	2	2
61	не имеет	2	2
62	роль в	2	2
63	и др	12	2
64	но так	2	2
65	ее в	3	2
66	с другой	9	2
67	там где	5	2
68	а в	8	2
69	которое может	2	2
70	и тем	3	2
71	том что	7	2
72	а также	7	2
73	и к	4	2
74	в связи	10	2
75	в данном	2	2
76	не менее	7	2
77	все эти	5	2
78	что эта	2	2
79	так же	4	2
80	что они	5	2
81	мы уже	4	2
82	героя и	3	2
83	и при	3	2
84	с этой	3	2
85	в своих	2	2
86	не на	2	2
87	в тех	8	2
88	и ее	5	2
89	что иное	2	2
90	а не	11	2
91	между собою	2	2
92	не сумеем	2	2
93	вслед за	5	2
94	входит в	4	2
95	как в	5	2
96	другой стороны	5	2
97	но такое	2	2
98	одной стороны	2	2
99	бы в	2	2
100	между тем	5	2
101	мы получим	2	2
102	и этот	2	2
103	в чем	2	2
104	иное как	2	2
105	не что	2	2
106	в другом	2	2
107	вовсе не	6	2
108	учение о	5	2
109	к тому	5	2
110	для него	2	2
