N	2gram	Tiupa_Disk	Myslijsy
1	потому что	7	182
2	то есть	29	142
3	и в	27	121
4	может быть	29	107
5	в том	29	103
6	то что	10	83
7	что в	8	73
8	и не	25	73
9	только в	9	72
10	не только	36	67
11	а не	35	67
12	таким образом	4	64
13	в языке	2	60
14	том что	27	59
15	в этом	29	59
16	но и	22	59
17	то же	12	56
18	не в	8	54
19	в себе	22	53
20	не может	17	52
21	по себе	3	52
22	того что	4	47
23	в нем	16	45
24	не есть	3	42
25	как и	27	42
26	вместе с	3	39
27	мы не	2	38
28	что и	5	38
29	так и	14	37
30	при этом	22	37
31	как в	16	37
32	тем что	4	33
33	и что	2	32
34	по отношению	13	30
35	а в	5	30
36	но не	17	29
37	что не	4	29
38	между тем	5	29
39	для него	9	28
40	могут быть	5	27
41	с этим	3	27
42	не было	9	26
43	отношению к	13	26
44	языка и	3	25
45	в то	8	24
46	как бы	9	23
47	но в	15	22
48	по мере	2	22
49	с другой	14	22
50	и потому	3	21
51	не менее	6	21
52	в ней	2	20
53	в одном	5	20
54	это не	5	20
55	мысль о	3	20
56	тем самым	6	19
57	мысли и	2	19
58	и как	9	19
59	и то	4	19
60	сказать что	4	19
61	из этих	3	19
62	но это	3	19
63	должно быть	2	19
64	о том	12	19
65	того же	5	19
66	еще не	20	18
67	не могут	2	18
68	там же	3	18
69	тогда как	28	18
70	в самом	4	18
71	заметить что	2	17
72	в его	9	17
73	слова и	2	17
74	по крайней	3	17
75	крайней мере	3	17
76	со стороны	17	17
77	точки зрения	6	17
78	во всяком	3	17
79	уже в	2	17
80	слова в	2	17
81	в своем	11	16
82	к тому	6	16
83	в которой	2	16
84	в них	6	16
85	и на	8	16
86	и по	2	15
87	в этих	4	15
88	с одной	12	15
89	тому как	5	15
90	в ряду	4	15
91	и тем	2	15
92	что он	6	15
93	прежде всего	17	15
94	в свою	3	15
95	уже не	7	15
96	свою очередь	3	14
97	в действительности	3	14
98	и без	2	14
99	должны быть	3	14
100	связи с	4	14
101	в истории	5	14
102	так сказать	3	14
103	столь же	6	14
104	в котором	7	14
105	в одно	2	14
106	все же	8	14
