N	2gram	Savitsky_E	Dialekti
1	не есть	2	181
2	т е	9	159
3	и не	14	120
4	по себе	4	79
5	а не	2	78
6	и в	37	77
7	точки зрения	23	72
8	может быть	6	71
9	не только	18	66
10	то что	6	59
11	это значит	2	54
12	не может	9	53
13	и даже	6	47
14	так как	7	46
15	с точки	17	46
16	что это	2	46
17	потому что	3	45
18	как бы	6	43
19	и что	2	42
20	не имеет	4	41
21	вовсе не	6	41
22	в том	11	40
23	в этом	12	39
24	то же	15	39
25	в себе	9	38
26	том что	6	37
27	прежде всего	9	37
28	что в	21	34
29	и все	2	33
30	того что	7	33
31	но и	14	32
32	и как	2	30
33	отнюдь не	9	30
34	сказать что	4	30
35	так и	10	29
36	было бы	8	29
37	как и	7	28
38	никогда не	3	27
39	не в	5	26
40	есть не	2	25
41	и то	2	25
42	если бы	2	24
43	в то	16	23
44	таким образом	2	23
45	она не	2	21
46	должна быть	2	21
47	в каком	4	20
48	что все	2	20
49	только в	9	20
50	что и	3	20
51	о том	3	20
52	и с	2	20
53	в таком	3	20
54	и притом	4	19
55	как же	2	19
56	в своем	14	19
57	как это	4	19
58	тогда когда	2	19
59	в самом	4	19
60	что же	2	18
61	с другой	7	18
62	хотя бы	15	18
63	же время	14	18
64	ни на	3	18
65	жизни и	2	18
66	но если	5	17
67	той или	4	17
68	можно сказать	4	17
69	в своей	8	16
70	мы не	4	16
71	к нему	2	16
72	само по	4	16
73	то в	4	15
74	также и	7	15
75	так же	9	15
76	в виде	5	15
77	хотя и	2	15
78	и мы	3	15
79	на то	6	15
80	несмотря на	4	15
81	и потому	5	14
82	а именно	2	14
83	и только	3	14
84	в силу	2	13
85	но в	14	13
86	в ней	4	13
87	и та	2	13
88	говорит о	3	13
89	он не	2	13
90	другой стороны	2	13
91	в смысле	9	13
92	и к	3	13
93	вопрос о	4	12
94	могут быть	2	12
95	и тут	2	12
96	именно в	4	12
97	и если	2	12
98	не могут	2	12
99	но как	2	12
100	а в	2	12
101	тем более	4	12
102	с этим	2	12
103	но не	5	12
104	мы должны	2	11
105	себе не	3	11
106	и тем	3	11
107	в них	3	11
108	что если	2	11
109	в данном	3	11
110	есть ли	2	11
111	есть в	2	11
112	из них	3	11
113	или в	2	11
114	от этого	5	10
115	к тому	8	10
116	в ее	8	10
117	как мы	5	10
118	в его	2	10
119	для того	6	10
120	с этой	6	10
121	и для	3	10
122	и можно	2	10
123	в их	11	10
124	в частности	5	10
125	можно ли	3	10
126	мы видим	2	10
127	во всяком	3	10
128	в результате	3	10
