N	3gram	Potebnia_M	Istorich
1	и т д	5	142
2	с другой стороны	4	46
3	до сих пор	4	30
4	в этом случае	2	29
5	с одной стороны	4	28
6	в том что	22	25
7	не может быть	7	24
8	тем не менее	7	23
9	вместе с тем	5	23
10	о том что	5	22
11	не только в	4	19
12	после того как	2	15
13	в данном случае	3	15
14	по отношению к	10	14
15	на то что	3	14
16	в то время	7	13
17	то время как	3	13
18	но и в	4	12
19	как и в	3	10
20	что и в	4	10
21	более или менее	6	9
22	но так как	2	9
23	в таких случаях	2	9
24	но вместе с	2	8
25	то же самое	3	8
26	по мере того	8	8
27	подобно тому как	3	8
28	мере того как	8	8
29	и то что	3	8
30	мы можем предположить	2	7
31	во всяком случае	3	7
32	с этой стороны	2	7
33	что он не	3	7
34	в большинстве случаев	2	7
35	отсюда видно что	2	7
36	то что в	2	7
37	потому что он	3	7
38	смысле этого слова	9	7
39	но тем не	4	6
40	мы должны будем	2	6
41	мы не можем	5	6
42	на самом деле	4	5
43	для того чтобы	5	5
44	так и в	2	5
45	со всех сторон	3	5
46	в том чтобы	4	5
47	нам кажется что	3	4
48	то же что	5	4
49	можно сказать что	3	4
50	с точки зрения	2	4
51	и может быть	2	4
52	сами по себе	3	4
53	по себе не	2	4
54	все то что	2	3
55	и то же	7	3
56	на первых порах	2	3
57	только тогда когда	11	3
58	не только не	4	3
59	не в состоянии	4	3
60	и многие другие	2	3
61	что мы видим	2	3
62	и тот же	2	3
63	не только по	3	3
64	к тому что	3	3
65	не в том	6	3
66	один и тот	2	3
67	само по себе	6	3
68	в том смысле	6	3
69	то и другое	3	2
70	в силу того	2	2
71	и то и	2	2
72	в том как	3	2
73	сам по себе	9	2
74	и в том	3	2
75	но и по	2	2
76	сама по себе	3	2
77	что этот образ	2	2
78	по себе а	4	2
79	мы не знаем	3	2
80	из них не	2	2
81	друг от друга	2	2
82	не могут быть	3	2
83	в общих чертах	2	2
84	вне связи с	2	2
85	том что он	2	2
86	силу того что	2	2
87	по тому что	2	2
88	быть не может	2	2
89	и т п	7	2
90	тогда как в	2	2
91	только в том	5	2
92	таким образом что	2	2
93	одно и то	7	2
94	и той же	4	2
95	могли бы быть	2	2
96	заметить что в	2	2
97	может быть назван	3	2
98	потому что мы	3	2
99	в таком случае	2	2
100	может быть только	4	2
101	только потому что	5	2
102	в одно время	3	2
103	одной и той	4	2
104	в свою очередь	6	2
105	а может быть	2	2
106	равно как и	2	2
107	а в том	5	2
