N	2gram	Nazirov_Tr	KFilosof
1	может быть	7	45
2	в его	3	42
3	в нем	4	32
4	не может	5	29
5	и не	7	28
6	и в	18	28
7	в себе	4	21
8	и его	6	18
9	в своем	3	17
10	в ее	2	17
11	в этом	9	15
12	не в	2	13
13	для него	3	13
14	и это	2	12
15	к нему	3	12
16	ни в	2	12
17	все эти	3	11
18	это не	5	10
19	в целом	4	10
20	все это	4	10
21	но и	4	9
22	как бы	7	9
23	и все	4	9
24	в мире	3	8
25	и здесь	2	7
26	то что	4	7
27	со мной	2	7
28	уже не	2	7
29	отнюдь не	3	7
30	что и	2	7
31	должно быть	3	6
32	отношение к	2	6
33	но эта	2	6
34	в том	2	6
35	но все	2	6
36	не имеет	2	6
37	я не	4	6
38	но это	4	6
39	и я	2	6
40	он не	2	6
41	никогда не	2	5
42	его в	2	5
43	все же	5	5
44	не только	8	5
45	то же	5	5
46	еще не	4	5
47	но в	6	5
48	как и	5	5
49	что я	4	5
50	в одном	2	5
51	с ним	3	5
52	что это	5	4
53	тем самым	3	4
54	нет в	2	4
55	том что	4	4
56	что в	4	4
57	прежде всего	4	4
58	при этом	3	4
59	до конца	2	3
60	ничего не	2	3
61	в то	5	3
62	тем что	2	3
63	о том	2	3
64	что этот	2	3
65	я буду	2	3
66	и на	7	3
67	ее жизни	2	3
68	бы и	2	3
69	и то	2	2
70	в данном	2	2
71	и ее	2	2
72	вопрос о	2	2
73	в это	2	2
74	с ее	3	2
75	и как	3	2
76	в виде	2	2
77	а как	2	2
78	что он	6	2
79	и за	2	2
80	так и	5	2
81	жизнь и	3	2
82	с тем	2	2
83	это уже	2	2
84	как в	3	2
85	он и	2	2
86	один из	3	2
87	что за	3	2
88	потому что	2	2
89	раз и	2	2
90	же время	6	2
91	в этой	4	2
92	с его	2	2
