N	3gram	Tiupa_Anal	Myslijsy
1	в том что	12	47
2	по отношению к	9	26
3	не может быть	2	19
4	тем не менее	3	18
5	по крайней мере	5	17
6	сам по себе	2	14
7	в свою очередь	7	14
8	то же время	7	13
9	в то же	7	13
10	во всяком случае	6	12
11	с другой стороны	7	12
12	подобно тому как	3	11
13	а в том	2	11
14	с одной стороны	3	10
15	одного и того	4	9
16	о том что	7	9
17	и того же	4	9
18	в таком случае	2	9
19	но и в	2	9
20	можно сказать что	2	7
21	как и в	6	7
22	одной и той	2	7
23	не только не	3	7
24	и той же	2	7
25	не только в	5	7
26	с точки зрения	2	7
27	сама по себе	3	7
28	и как бы	2	6
29	в сравнении с	2	5
30	и то что	2	5
31	в данном случае	11	4
32	в противном случае	2	4
33	в этом отношении	3	4
34	дело в том	3	4
35	в том чтобы	2	4
36	тогда как в	3	3
37	том что он	2	3
38	что он не	2	3
39	между тем в	2	3
40	в переносном смысле	2	3
41	и тем самым	2	3
42	до известной степени	3	3
43	так или иначе	5	3
44	а тем более	2	2
45	в каждом отдельном	2	2
46	не только к	2	2
47	в свое время	4	2
48	том что по	2	2
49	состоит в том	2	2
50	мы имеем дело	4	2
