N	2gram	Propp_Morf	EvropaiE
1	и в	17	37
2	в пределах	3	25
3	точки зрения	7	23
4	что в	10	21
5	не только	8	18
6	с точки	6	17
7	в то	4	16
8	хотя бы	5	15
9	то же	10	15
10	но в	4	14
11	но и	9	14
12	и не	16	14
13	в качестве	8	14
14	в этом	18	12
15	в том	10	11
16	так и	10	10
17	т е	25	9
18	так же	4	9
19	не может	19	9
20	прежде всего	14	9
21	только в	3	9
22	одной стороны	2	8
23	между тем	5	8
24	было бы	5	8
25	с одной	2	8
26	к тому	5	8
27	по своему	2	7
28	также и	6	7
29	с другой	9	7
30	а также	7	7
31	как и	4	7
32	так как	20	7
33	того что	3	7
34	том что	7	6
35	вслед за	5	6
36	во всех	6	6
37	и даже	2	6
38	может быть	61	6
39	с этой	3	6
40	того чтобы	4	6
41	для того	3	6
42	на то	3	6
43	то что	10	6
44	как бы	6	6
45	вовсе не	6	6
46	но не	8	5
47	и по	3	5
48	в россии	2	5
49	но если	10	5
50	как мы	8	5
51	со стороны	5	5
52	не в	3	5
53	в виде	3	5
54	в частности	2	5
55	одной из	2	5
56	сказать что	4	4
57	в каком	2	4
58	вопрос о	10	4
59	не имеет	2	4
60	можно сказать	2	4
61	то в	3	4
62	независимо от	4	4
63	мы не	8	4
64	для нас	2	4
65	несмотря на	4	4
66	к ней	3	4
67	ни было	2	4
68	не на	2	4
69	как это	7	4
70	то ни	3	4
71	бы то	3	4
72	чем в	2	4
73	с тем	2	3
74	и для	4	3
75	и только	3	3
76	в данной	2	3
77	о том	6	3
78	в данном	2	3
79	вообще не	2	3
80	в которых	2	3
81	можно было	4	3
82	и к	4	3
83	в результате	8	3
84	мы можем	5	3
85	это так	2	3
86	из них	4	3
87	всяком случае	2	3
88	что и	10	3
89	во второй	2	3
90	там где	5	3
91	и тем	3	3
92	тем что	4	3
93	этом отношении	2	3
94	не является	4	3
95	потому что	7	3
96	она в	2	3
97	представляет собой	17	3
98	как в	5	3
99	большинстве случаев	3	3
100	ее в	3	3
101	во всяком	2	3
102	данном случае	2	2
103	на этот	2	2
104	если в	7	2
105	и этот	2	2
106	например с	2	2
107	что это	3	2
108	при помощи	12	2
109	утверждать что	3	2
110	к нему	3	2
111	не могут	7	2
112	как же	3	2
113	она не	2	2
114	а в	8	2
115	с этим	14	2
116	мы должны	3	2
117	или по	2	2
118	с другими	2	2
119	с большой	2	2
120	заметить что	11	2
121	но как	3	2
122	далеко не	5	2
123	в своих	2	2
124	в большинстве	3	2
125	бы в	2	2
126	этот вопрос	4	2
127	во втором	7	2
128	могут быть	21	2
129	другой стороны	5	2
130	также в	2	2
131	в одном	2	2
132	как их	2	2
133	и как	6	2
134	что же	2	2
135	целый ряд	3	2
136	если бы	3	2
137	в этих	17	2
138	в других	5	2
139	а не	11	2
140	мы видим	15	2
141	и что	3	2
142	же в	3	2
143	или в	6	2
144	наряду с	7	2
145	таким образом	26	2
146	он не	5	2
147	как будто	2	2
148	главным образом	5	2
149	случаях когда	2	2
150	относятся к	2	2
151	что эти	3	2
152	в этой	3	2
153	в некоторых	4	2
154	не означает	2	2
155	но с	2	2
156	и таким	2	2
157	между собой	5	2
158	хотя и	5	2
159	в какой	3	2
160	должна быть	2	2
161	и более	2	2
162	вопрос не	2	2
