N	2gram	Berdyaev_V	Stilisti
1	и в	16	42
2	как бы	5	30
3	не только	2	28
4	прежде всего	2	22
5	хотя бы	3	18
6	но и	5	16
7	и не	20	14
8	как и	4	12
9	что мы	4	11
10	в этом	4	10
11	то что	9	9
12	мы не	2	9
13	так как	9	8
14	и это	2	8
15	с тем	2	8
16	в ней	4	8
17	с его	3	8
18	никогда не	3	7
19	так и	4	7
20	потому что	4	7
21	только в	2	7
22	а не	7	7
23	того чтобы	2	7
24	во всех	3	6
25	не в	3	6
26	в конце	3	6
27	в нем	4	6
28	в его	4	6
29	в форме	2	6
30	и то	2	5
31	а с	2	5
32	тому что	3	5
33	а в	2	5
34	но в	3	5
35	да и	2	4
36	лишь в	3	4
37	того что	5	4
38	всего в	2	4
39	можно было	2	4
40	один из	2	4
41	и все	4	4
42	к тому	3	4
43	уже не	2	4
44	все это	5	4
45	не к	2	4
46	это не	2	3
47	том что	2	3
48	а к	2	3
49	в том	3	3
50	еще не	8	3
51	его и	2	3
52	для него	2	3
53	не с	2	3
54	не так	2	3
55	и для	3	3
56	нет и	2	3
57	в котором	4	3
58	их в	3	3
59	если не	3	3
60	не будет	2	3
61	для нас	2	3
62	хотя и	5	3
63	жизни и	3	3
64	что и	3	3
65	все эти	3	3
66	конечно не	2	3
67	что было	2	3
68	до того	2	3
69	между тем	2	3
70	и потому	7	2
71	нет ничего	3	2
72	человека и	6	2
73	бы и	3	2
74	должно быть	3	2
75	тем что	2	2
76	в этих	3	2
77	что он	4	2
78	и сам	2	2
79	к чему	3	2
80	его не	2	2
81	в жизни	3	2
82	в мире	5	2
83	но не	2	2
84	но мы	2	2
85	не есть	6	2
86	для них	2	2
87	не было	3	2
88	как не	3	2
89	но это	3	2
90	в своей	3	2
91	и тогда	2	2
92	с ним	2	2
93	тот же	3	2
