N	3gram	Medvedev_F	VLabPisa
1	и т д	11	16
2	в этом отношении	7	14
3	и т п	11	9
4	с другой стороны	4	8
5	не может быть	11	8
6	по отношению к	4	7
7	более или менее	7	6
8	в то же	13	5
9	в том что	3	5
10	то же время	13	5
11	в зависимости от	4	5
12	вместе с тем	5	4
13	в художественном произведении	3	4
14	к тому что	3	4
15	в связи с	9	4
16	не могут быть	4	4
17	таким образом не	3	3
18	для того чтобы	3	3
19	и в то	4	3
20	хотя бы в	4	3
21	в конце концов	2	2
22	с одной стороны	5	2
23	в противном случае	2	2
24	не только не	2	2
25	во всяком случае	6	2
26	одной стороны и	4	2
27	т е в	2	2
28	и не может	5	2
29	в этом процессе	2	2
30	до сих пор	7	2
31	не в том	3	2
32	в том чтобы	3	2
