N	2gram	Savitsky_E	VelikijI
1	и не	14	20
2	и в	37	16
3	так как	7	9
4	то что	6	9
5	в истории	2	8
6	и потому	5	7
7	а не	2	7
8	не есть	2	6
9	в мире	2	5
10	как бы	6	5
11	на себя	3	5
12	но и	14	5
13	хотя и	2	5
14	того что	7	5
15	что все	2	4
16	и все	2	4
17	как и	7	4
18	в котором	2	4
19	потому что	3	4
20	в ней	4	4
21	в его	2	4
22	в этом	12	4
23	так и	10	4
24	никогда не	3	3
25	что в	21	3
26	в том	11	3
27	и для	3	3
28	от этого	5	3
29	не имеет	4	3
30	но в	14	3
31	к тому	8	3
32	бы и	3	3
33	хотя бы	15	3
34	в своей	8	3
35	во всех	6	3
36	в них	3	3
37	жизни и	2	3
38	как не	2	3
39	что и	3	3
40	и мы	3	3
41	и что	2	3
42	не в	5	3
43	в этих	2	3
44	должна быть	2	3
45	и то	2	2
46	с тем	3	2
47	но не	5	2
48	в прошлом	3	2
49	ее в	3	2
50	не только	18	2
51	не могут	2	2
52	а в	2	2
53	том что	6	2
54	и во	2	2
55	во всяком	3	2
56	вслед за	6	2
57	могут быть	2	2
58	не к	2	2
59	не будет	3	2
60	для них	2	2
61	того чтобы	6	2
62	и теперь	2	2
63	более чем	2	2
64	мира в	4	2
65	тем что	3	2
66	мы не	4	2
67	можно было	3	2
68	только в	9	2
69	в существе	2	2
70	для нас	4	2
71	прежде всего	9	2
72	всего в	2	2
73	между тем	8	2
