N	3gram	Bakhtin_Fr	DiskursI
1	в том что	2	28
2	в отличие от	3	26
3	по отношению к	2	17
4	с одной стороны	4	14
5	не может быть	2	12
6	в данном случае	3	12
7	той или иной	2	10
8	то же время	13	10
9	о том что	3	9
10	в то же	13	8
11	в этом отношении	4	8
12	как и в	2	7
13	с точки зрения	4	6
14	одной стороны и	2	5
15	подобно тому как	2	5
16	в значительной степени	2	5
17	не только в	3	5
18	с другой стороны	5	5
19	дело в том	2	5
20	в свою очередь	2	5
21	и прежде всего	3	4
22	можно сказать что	2	4
23	в том числе	4	3
24	том числе и	3	3
25	во всяком случае	2	3
26	и той же	2	2
27	как мы видели	4	2
28	все то что	2	2
29	большей или меньшей	3	2
30	а также и	4	2
31	в большинстве случаев	3	2
32	жизнью и смертью	3	2
33	но и в	4	2
34	одной и той	2	2
35	только то что	2	2
36	между жизнью и	3	2
37	и в то	2	2
38	как и все	5	2
