N	2gram	Nazirov_Tv	Tragedij
1	и в	40	18
2	и оскорбленных	5	17
3	униженных и	5	16
4	в романе	24	10
5	и оскорбленные	3	9
6	униженные и	3	9
7	в бесах	8	9
8	в году	22	9
9	в этом	11	9
10	князь валковский	3	9
11	не только	16	8
12	и не	12	7
13	достоевский в	7	7
14	он сам	8	7
15	и на	12	7
16	как бы	26	7
17	и с	9	7
18	может быть	11	7
19	в униженных	2	6
20	же время	18	6
21	что он	11	6
22	но в	11	6
23	и его	14	6
24	в образе	4	6
25	у него	11	6
26	у достоевского	51	5
27	к жизни	4	5
28	все же	9	5
29	это не	9	5
30	то же	19	5
31	как и	16	5
32	в дальнейшем	7	5
33	так и	5	5
34	не может	9	5
35	а я	3	5
36	в то	23	5
37	он всегда	2	4
38	что в	17	4
39	еще не	5	4
40	в целом	7	4
41	образ князя	4	4
42	но и	10	4
43	прежде всего	10	4
44	об этом	4	4
45	том что	14	4
46	в этой	7	4
47	и что	2	4
48	так же	6	4
49	и все	6	4
50	все это	14	4
51	в нем	4	4
52	что я	4	4
53	то что	9	4
54	достоевский не	7	4
55	но это	10	4
56	что достоевский	10	4
57	я не	5	4
58	и даже	8	4
59	но достоевский	2	4
60	в себе	3	4
61	один из	5	3
62	своего рода	7	3
63	и как	5	3
64	в мире	8	3
65	уже в	5	3
66	записках из	6	3
67	тем самым	10	3
68	в своем	4	3
69	при этом	14	3
70	в его	19	3
71	сам достоевский	3	3
72	романтический эстетизм	2	3
73	что с	2	3
74	все эти	3	3
75	достоевского в	19	3
76	и он	4	3
77	отнюдь не	9	3
78	в основном	9	3
79	с ее	3	3
80	и сам	5	3
81	как будто	5	3
82	как в	10	3
83	как это	2	3
84	жизнь и	2	3
85	для него	9	3
86	то есть	16	3
87	романа и	4	3
88	в конце	5	3
89	с ним	4	3
90	романе идиот	6	3
91	никогда не	13	2
92	в рассказе	4	2
93	в самом	6	2
94	белых ночей	3	2
95	ивана карамазова	7	2
96	данном случае	2	2
97	до конца	2	2
98	одна из	5	2
99	даже если	2	2
100	точно так	3	2
101	друг друга	2	2
102	мертвого дома	2	2
103	тем что	2	2
104	в записках	7	2
105	перед нами	3	2
106	в душе	4	2
107	в одном	3	2
108	его в	2	2
109	великий писатель	3	2
110	не имеет	2	2
111	в виде	4	2
112	ничего не	3	2
113	имеет в	2	2
114	в данном	2	2
115	моральный эстетизм	2	2
116	в письмах	3	2
117	не могут	2	2
118	в ее	3	2
119	но эта	3	2
120	что все	4	2
121	вряд ли	2	2
122	к тому	2	2
123	а как	2	2
124	говорит о	3	2
125	о том	9	2
126	роман достоевского	4	2
127	неточка незванова	3	2
128	что и	3	2
129	ни в	2	2
130	не в	3	2
131	столь же	2	2
132	это был	4	2
133	для достоевского	5	2
134	веру в	3	2
135	и здесь	2	2
136	это уже	7	2
137	а что	2	2
138	потому что	10	2
139	и наказании	10	2
140	о жизни	4	2
141	человеческой личности	5	2
142	одном из	2	2
143	было в	2	2
144	что этот	2	2
145	настасья филипповна	4	2
146	по словам	2	2
147	в неточке	2	2
148	и я	2	2
149	в известной	4	2
150	в частности	4	2
151	отказывается от	2	2
152	как у	3	2
153	в таком	4	2
154	лицо его	2	2
155	так что	4	2
156	он не	10	2
157	в первом	3	2
158	князь мышкин	9	2
159	образе князя	2	2
160	уже не	6	2
161	что она	5	2
162	по мнению	4	2
163	с иваном	3	2
164	и это	2	2
165	говорит что	2	2
166	по сей	2	2
167	личности и	2	2
168	русской литературы	3	2
169	не так	5	2
170	отличие от	3	2
171	xix веке	3	2
172	в преступлении	12	2
173	сей день	2	2
174	в том	13	2
175	году в	3	2
176	в глаза	2	2
177	и до	2	2
178	романах достоевского	26	2
179	в глазах	2	2
180	романа достоевского	7	2
181	преступлении и	10	2
182	очень важно	2	2
183	который в	4	2
184	достоевским в	6	2
185	не случайно	6	2
186	в отличие	3	2
187	я буду	2	2
188	не был	4	2
189	не мог	3	2
190	еще в	3	2
191	с его	12	2
192	он был	2	2
193	времени в	13	2
