N	2gram	Vinokur_St	NovoeSre
1	а не	19	17
2	и в	61	16
3	не может	10	16
4	совсем не	3	12
5	и не	23	11
6	истории и	2	9
7	в эпоху	3	9
8	что в	41	9
9	жизни и	6	8
10	в том	56	8
11	он не	11	8
12	может быть	16	7
13	как и	11	7
14	в этом	37	7
15	никогда не	7	6
16	лишь в	3	6
17	ни в	5	6
18	не в	15	6
19	не знает	2	6
20	но это	9	6
21	с его	3	6
22	не только	36	5
23	должен быть	3	5
24	все это	13	5
25	в нем	9	5
26	в ней	9	5
27	и к	5	5
28	культуры в	3	5
29	xix века	2	5
30	по своему	2	4
31	в них	2	4
32	и для	4	4
33	не имеет	5	4
34	прежде всего	11	4
35	не менее	8	4
36	не было	7	4
37	и потому	3	4
38	эпохи и	3	4
39	то что	27	4
40	о том	30	4
41	это не	8	4
42	потому что	13	4
43	и все	3	4
44	значит что	3	4
45	но и	28	3
46	с другой	11	3
47	не значит	3	3
48	в ее	6	3
49	она не	3	3
50	к тому	9	3
51	в россии	7	3
52	и пр	4	3
53	что такое	2	3
54	в своей	12	3
55	еще не	4	3
56	право и	2	3
57	в истории	5	3
58	должна быть	3	3
59	как в	15	3
60	конечно не	2	3
61	за пределы	2	3
62	в духе	2	3
63	сказать что	9	3
64	во всех	8	3
65	в наши	2	3
66	вопрос о	9	3
67	это было	2	3
68	не существует	4	3
69	к власти	2	3
70	в основе	4	3
71	с тем	3	3
72	время как	2	2
73	в себе	3	2
74	что она	5	2
75	как будто	5	2
76	и с	6	2
77	для этого	2	2
78	но не	5	2
79	что все	3	2
80	думать что	2	2
81	и от	2	2
82	того чтобы	15	2
83	и это	4	2
84	хотя бы	8	2
85	в новом	4	2
86	же как	5	2
87	а в	18	2
88	но в	16	2
89	том что	49	2
90	не к	2	2
91	можно назвать	3	2
92	к подлинному	2	2
93	и на	7	2
94	с этим	6	2
95	есть в	2	2
96	и что	8	2
97	все эти	7	2
98	я уже	3	2
99	мы не	3	2
100	не имеют	2	2
101	стремление к	3	2
102	можно было	14	2
103	это и	5	2
104	у него	3	2
105	времени и	4	2
106	по существу	3	2
107	с их	2	2
108	как это	6	2
109	другой стороны	9	2
110	так же	7	2
111	так и	15	2
112	такого рода	2	2
113	могут быть	5	2
114	но для	3	2
115	одной стороны	2	2
116	такой же	6	2
117	быть в	2	2
118	в то	10	2
119	не могла	2	2
120	хотя и	4	2
121	должно было	5	2
122	и творчества	2	2
123	этом смысле	2	2
124	с одной	3	2
125	еще до	4	2
126	но я	5	2
127	место в	2	2
128	и даже	8	2
129	ведь и	3	2
130	вместе с	5	2
131	я не	13	2
