N	3gram	Voloshinov	Marksizm
1	с точки зрения	5	46
2	не может быть	2	25
3	в самом деле	2	19
4	в то же	9	15
5	по отношению к	2	15
6	то же время	7	15
7	в связи с	2	14
8	для того чтобы	7	11
9	с самого начала	4	10
10	но в то	2	9
11	то же самое	4	8
12	смысле этого слова	2	7
13	в свою очередь	4	7
14	на самом деле	3	6
15	в точном смысле	2	6
16	как мы уже	3	6
17	той или иной	4	5
18	как мы видели	3	5
19	и как бы	2	5
20	одни и те	2	5
21	в этом отношении	2	5
22	к тому что	2	5
23	в этом случае	3	5
24	внутренней речи и	2	5
25	и те же	2	5
26	можно сказать что	2	4
27	точном смысле этого	2	4
28	о том что	2	4
29	у нас не	2	4
30	в зависимости от	7	4
31	но все же	3	4
32	но при этом	2	3
33	и то же	5	3
34	социального общения и	3	3
35	в конце концов	3	3
36	может быть понято	2	3
37	одной и той	4	3
38	или хотя бы	2	3
39	одно и то	5	3
40	и той же	4	3
41	не только в	3	3
42	но и в	3	3
43	и тем же	2	3
44	не было бы	2	3
45	во внутренней речи	3	3
46	в значительной степени	2	3
47	связи с этим	2	3
48	внутренней и внешней	3	2
49	прежде всего в	4	2
50	в каждом идеологическом	2	2
51	трением слова о	2	2
52	не становится знаком	2	2
53	во всех своих	3	2
54	то же слово	2	2
55	мы никогда не	5	2
56	тем же языком	2	2
57	всякий идеологический знак	2	2
58	как мы увидим	2	2
59	мы видели что	2	2
60	каждом идеологическом знаке	2	2
61	происходит как бы	2	2
62	обратное влияние на	4	2
63	речевого общения в	2	2
64	тот или иной	2	2
65	чуть ли не	2	2
66	быть понято и	2	2
67	ту или иную	4	2
68	о происхождении языка	2	2
69	того или иного	5	2
70	при этом конечно	2	2
71	говорящего и слушающего	3	2
