N	2gram	Tiupa_Hudo	Myslijsy
1	потому что	3	182
2	то есть	26	142
3	и в	23	121
4	может быть	19	107
5	в том	20	103
6	то что	5	83
7	в слове	4	78
8	что в	7	73
9	и не	16	73
10	только в	7	72
11	не только	20	67
12	а не	13	67
13	таким образом	3	64
14	том что	9	59
15	в этом	12	59
16	но и	14	59
17	то же	12	56
18	не в	9	54
19	если бы	3	53
20	в себе	13	53
21	не может	9	52
22	по себе	2	52
23	того что	5	47
24	в душе	9	45
25	в нем	6	45
26	как и	3	42
27	что и	2	38
28	так и	12	37
29	при этом	19	37
30	как в	2	37
31	и что	4	32
32	по отношению	10	30
33	а в	13	30
34	но не	13	29
35	между тем	4	29
36	вовсе не	2	28
37	для него	5	28
38	могут быть	5	27
39	отношению к	10	26
40	этого слова	2	25
41	в то	8	24
42	как бы	11	23
43	но в	10	22
44	с другой	9	22
45	и потому	2	21
46	не менее	5	21
47	в одном	3	20
48	это не	4	20
49	тем самым	5	19
50	и как	4	19
51	с ним	2	19
52	и то	4	19
53	сказать что	4	19
54	из этих	3	19
55	тем не	3	19
56	о том	2	19
57	того же	3	19
58	в каком	2	18
59	для меня	2	18
60	для того	5	18
61	еще не	4	18
62	тогда как	15	18
63	бы не	2	18
64	в самом	7	18
65	в таком	3	18
66	в его	11	17
67	слова и	2	17
68	со стороны	5	17
69	точки зрения	11	17
70	слова в	3	17
71	в своем	4	16
72	к тому	4	16
73	а только	4	16
74	и наоборот	2	16
75	в которой	3	16
76	так же	2	16
77	в них	2	16
78	и на	3	16
79	и по	2	15
80	в этих	4	15
81	с одной	3	15
82	тому как	3	15
83	и тем	4	15
84	что он	5	15
85	прежде всего	5	15
86	с другими	5	15
87	в свою	3	15
88	уже не	6	15
89	свою очередь	2	14
90	связи с	3	14
91	то в	2	14
92	на деле	3	14
93	столь же	2	14
94	в одно	2	14
95	во всех	3	14
96	же время	7	14
97	не следует	4	13
98	и может	2	13
99	например в	4	13
100	языка в	4	13
101	и его	12	13
102	никогда не	2	12
103	человека и	2	12
104	одно из	2	12
105	все это	2	12
106	есть в	3	12
107	тем более	2	12
108	что такое	2	12
109	оно не	2	12
110	или менее	6	12
111	в чем	2	12
112	хотя и	4	12
113	другой стороны	6	12
114	более или	6	12
115	и притом	3	11
116	в силу	4	11
117	того чтобы	5	11
118	его в	4	11
119	к нему	3	11
120	речи и	4	11
121	подобно тому	3	11
122	и это	2	11
123	одной стороны	3	10
124	быть названо	2	10
125	и для	3	10
126	тому что	2	10
127	так в	4	10
128	не от	2	10
129	он не	4	10
130	если мы	2	10
131	таком случае	2	9
132	не будет	3	9
133	никто не	3	9
134	не все	2	9
135	и о	4	9
136	далеко не	4	9
137	с точки	3	9
138	и того	3	9
139	самом деле	2	9
