N	3gram	Potebnia_M	FransuaR
1	в то же	8	55
2	то же время	8	55
3	до сих пор	4	27
4	в том что	22	27
5	в большинстве случаев	2	22
6	в этом отношении	2	20
7	с точки зрения	2	20
8	для того чтобы	5	17
9	о том что	5	17
10	но и в	4	15
11	на самом деле	4	13
12	не может быть	7	13
13	с одной стороны	4	13
14	с другой стороны	4	12
15	все то что	2	11
16	можно сказать что	3	11
17	в данном случае	3	10
18	как и в	3	10
19	не только в	4	10
20	по отношению к	10	9
21	так и в	2	9
22	более или менее	6	8
23	после того как	2	8
24	подобно тому как	3	7
25	в то время	7	7
26	в свою очередь	6	6
27	во всяком случае	3	5
28	то же самое	3	5
29	в первом случае	2	5
30	в том же	2	5
31	и тот же	2	5
32	потому что он	3	5
33	один и тот	2	4
34	одной и той	4	4
35	и в самом	3	4
36	в собственном смысле	2	4
37	что и в	4	4
38	то что в	2	4
39	и той же	4	4
40	и то что	3	4
41	потому что в	4	3
42	в этом смысле	2	3
43	не только не	4	3
44	вместе с тем	5	3
45	со всех сторон	3	3
46	и в том	3	3
47	и как бы	2	3
48	как бы ни	4	3
49	одного и того	2	3
50	несколько слов об	2	3
51	и того же	2	3
52	между тем как	4	3
53	смысле этого слова	9	3
54	друг от друга	2	3
55	сказать несколько слов	2	2
56	сам по себе	9	2
57	таким образом что	2	2
58	только тогда когда	11	2
59	там же с	7	2
60	одним и тем	4	2
61	в таких случаях	2	2
62	мы не знаем	3	2
63	и тем же	4	2
64	не могут быть	3	2
65	в этом случае	2	2
66	мы не можем	5	2
67	том что он	2	2
68	то время когда	2	2
69	и в каждой	2	2
70	и та же	2	2
71	одна и та	2	2
72	может быть только	4	2
73	и может быть	2	2
74	заметить что в	2	2
75	далеко не все	3	2
76	в том чтобы	4	2
