N	3gram	Vygotskiy_	Problemy
1	с точки зрения	11	25
2	по отношению к	3	18
3	в этом смысле	7	16
4	не может быть	5	14
5	до сих пор	3	10
6	с самого начала	6	9
7	в самом деле	4	9
8	во всяком случае	10	9
9	с другой стороны	5	9
10	друг с другом	10	8
11	в том что	41	8
12	мы уже говорили	6	7
13	и в этом	2	7
14	в отличие от	8	6
15	между тем как	4	6
16	той или иной	2	5
17	сам по себе	2	5
18	в зависимости от	6	5
19	хотя бы и	2	5
20	можно было бы	8	5
21	в высшей степени	11	5
22	тем не менее	6	4
23	более или менее	3	4
24	как если бы	2	4
25	о том что	3	4
26	так и в	2	4
27	само по себе	3	4
28	как и в	3	4
29	уже говорили что	2	4
30	сами по себе	4	4
31	в этом отношении	9	4
32	смысле этого слова	10	4
33	друг на друга	3	4
34	и то же	6	3
35	как мы видели	4	3
36	в то время	5	3
37	никогда не бывает	2	3
38	того и другого	2	3
39	как мы уже	3	3
40	на то что	5	3
41	как мы увидим	2	3
42	все же не	2	3
43	одно и то	6	3
44	на этот вопрос	2	3
45	то время как	5	3
46	в этом случае	4	3
47	в такой же	2	2
48	его к тому	2	2
49	что и в	6	2
50	то же самое	9	2
51	же как и	6	2
52	этой точки зрения	4	2
53	что они действительно	2	2
54	то что в	3	2
55	что он не	2	2
56	лежащие в основе	2	2
57	на этот раз	2	2
58	друг от друга	2	2
59	перед нами в	2	2
60	вместе с тем	11	2
61	для того чтобы	14	2
62	в себе и	2	2
63	и во всяком	2	2
64	в свою очередь	3	2
