N	2gram	Trubetskoy	Vladivir
1	и в	24	116
2	то что	18	71
3	и не	9	67
4	не только	10	65
5	у него	5	65
6	в этом	13	53
7	в том	31	52
8	том что	20	51
9	что в	9	48
10	но и	11	47
11	в конце	4	41
12	в его	5	40
13	и с	5	39
14	то есть	2	37
15	также и	2	36
16	так что	6	35
17	потому что	9	33
18	что он	7	32
19	не может	18	31
20	о том	7	30
21	только в	6	30
22	никогда не	4	29
23	как мы	3	29
24	для него	2	29
25	вовсе не	2	27
26	а в	3	27
27	не было	2	26
28	в то	6	25
29	но в	5	25
30	в себе	5	25
31	и то	4	25
32	а к	2	25
33	и его	2	25
34	точки зрения	14	23
35	между прочим	2	23
36	может быть	17	23
37	он не	4	23
38	что же	2	23
39	в виде	4	22
40	так как	7	22
41	вместе с	7	21
42	в своем	12	20
43	прежде всего	3	20
44	для нас	3	20
45	и что	9	20
46	и потому	3	19
47	и вообще	3	19
48	так и	10	19
49	не менее	7	19
50	в дальнейшем	4	19
51	таким образом	34	19
52	в течение	4	19
53	тем не	4	19
54	не в	9	18
55	как и	10	18
56	хотя и	4	18
57	что и	7	17
58	в этой	7	17
59	у нас	3	17
60	и если	6	17
61	все же	15	16
62	того что	7	16
63	было бы	3	16
64	к тому	8	16
65	и все	9	16
66	для себя	2	16
67	в котором	2	16
68	не есть	4	16
69	в эти	3	15
70	в связи	3	15
71	к этому	5	15
72	несмотря на	6	15
73	то же	4	15
74	в своих	2	15
75	и к	5	15
76	того же	9	14
77	же касается	2	14
78	в с	3	14
79	все эти	19	14
80	и на	6	14
81	мы уже	4	14
82	так же	8	13
83	с тем	4	13
84	и от	5	13
85	что это	5	13
86	в результате	9	13
87	жизни и	2	13
88	то время	2	13
89	во всем	3	13
90	есть только	2	12
91	и у	4	12
92	в нем	3	12
93	и по	3	12
94	связи с	4	12
95	во всяком	2	12
96	то в	2	12
97	и это	3	12
98	всяком случае	2	12
99	мы должны	4	11
100	не очень	2	11
101	или менее	8	11
102	я не	2	11
103	при этом	9	11
104	все это	13	11
105	это есть	4	11
106	в данном	3	11
107	хотя бы	4	11
108	в которой	5	11
109	него в	2	11
110	на то	9	11
111	более или	8	11
112	конце концов	4	11
113	тому же	6	11
114	даже в	3	10
115	к нему	2	10
116	в ней	3	10
117	что его	4	10
118	которую он	2	10
119	что все	5	10
120	в истории	3	10
121	еще не	6	10
122	но не	3	10
123	что для	4	10
124	в самом	8	10
125	отнюдь не	2	10
126	с точки	8	10
127	с ним	6	10
128	это не	3	9
129	для меня	4	9
130	но как	2	9
131	мы знаем	10	9
132	а с	4	9
133	в целом	5	9
134	в начале	3	9
135	по существу	7	9
136	что если	3	9
137	с этим	12	9
138	и сам	2	9
139	что касается	6	9
140	с другой	6	9
141	не будет	5	9
142	именно в	5	9
143	что мы	4	9
144	из этого	7	9
145	же время	2	9
146	мы будем	3	9
147	отношение к	4	8
148	как бы	10	8
149	тот же	3	8
150	из этих	8	8
151	должно быть	5	8
152	с этой	3	8
153	в этих	3	8
154	и для	6	8
155	конечно не	3	8
156	и особенно	2	8
157	другими словами	2	7
158	но даже	3	7
159	не без	2	7
160	при помощи	3	7
161	не имеет	2	7
162	по этому	2	7
163	того чтобы	8	7
164	мы видели	2	7
165	то и	2	7
166	если бы	8	7
167	ничего общего	3	7
168	но если	2	7
169	но все	5	7
170	с в	3	7
171	на первый	2	7
172	в таком	4	7
173	в нашем	3	7
174	в них	2	7
175	выше мы	4	7
176	мы и	2	7
177	данном случае	3	6
178	его в	5	6
179	те же	2	6
180	в настоящее	3	6
181	а это	2	6
182	от того	3	6
183	том же	4	6
184	в виду	2	6
185	отличие от	3	6
186	что на	2	6
187	тому что	2	6
188	так или	5	6
189	в общем	6	6
190	настоящее время	3	6
191	в в	4	6
192	жизнь и	3	6
193	по своему	5	6
194	другой стороны	5	6
195	тем более	3	6
196	что она	2	6
197	на него	2	6
198	и наконец	3	6
199	для того	8	6
200	такой же	2	6
201	и из	2	6
202	в жизни	3	6
203	этого последнего	2	6
204	или иначе	5	6
205	если мы	4	6
206	но на	2	6
207	той же	2	6
208	ко всему	2	6
209	по своей	7	6
210	по его	2	6
211	чем в	3	6
212	а и	8	5
213	вопрос о	3	5
214	друг друга	2	5
215	а наоборот	3	5
216	тех кто	5	5
217	на все	5	5
218	в их	4	5
219	в частности	2	5
220	она не	2	5
221	только при	2	5
222	и без	5	5
223	эти последние	2	5
224	что с	6	5
225	и до	3	5
226	то ни	4	5
227	что они	2	5
228	в области	4	5
229	сводится к	2	5
230	бы то	3	5
231	все то	2	5
232	только то	2	5
233	во всех	10	5
234	которой мы	2	5
235	и так	2	5
236	далеко не	5	5
237	что у	2	5
238	не вполне	3	5
239	в свою	2	5
240	из них	5	5
241	со своей	2	5
242	и только	2	5
243	как на	6	5
244	все дело	2	4
245	на самом	7	4
246	всех этих	4	4
247	тем самым	3	4
248	о которых	7	4
249	очень мало	2	4
250	не могут	4	4
251	в тех	3	4
252	но для	2	4
253	оказывается что	5	4
254	ясно что	8	4
255	которых мы	4	4
256	как к	5	4
257	и других	3	4
258	только одно	3	4
259	совершенно не	4	4
260	как у	3	4
261	у них	6	4
262	одной стороны	2	4
263	не то	3	4
264	в такой	4	4
265	себя и	2	4
266	в сущности	2	4
