N	3gram	Bakhtin_Fr	Istorich
1	до сих пор	7	30
2	с одной стороны	2	28
3	в том что	6	25
4	не может быть	5	24
5	но все же	3	23
6	о том что	3	22
7	не только в	5	19
8	по отношению к	2	14
9	как мы видели	2	12
10	но и в	5	12
11	во всех этих	2	11
12	друг с другом	2	9
13	на этот вопрос	2	8
14	подобно тому как	2	8
15	во всяком случае	2	7
16	в большинстве случаев	2	7
17	и в других	2	6
18	на самом деле	2	5
19	для того чтобы	2	5
20	так и в	3	5
21	в том числе	10	5
22	в отличие от	4	5
23	в другом месте	2	5
24	содержит в себе	2	4
25	в это время	2	4
26	можно сказать что	3	4
27	с точки зрения	6	4
28	и др все	2	3
29	мы уже говорили	12	3
30	дело в том	2	3
31	этот вопрос мы	2	3
32	но и на	2	3
33	в средние века	12	3
34	по сравнению с	2	3
35	большей или меньшей	7	2
36	и в том	2	2
37	но все это	2	2
38	и др в	2	2
39	и даже в	2	2
40	не могут быть	2	2
41	на самом же	3	2
42	самом же деле	3	2
43	и не может	2	2
44	это уже не	3	2
45	и прежде всего	4	2
46	вовсе не в	2	2
47	его связь с	4	2
48	видеть в нем	2	2
49	в книге о	2	2
50	том числе и	7	2
51	он как бы	2	2
