N	3gram	Losev_Vesc	Psycholo
1	в том что	9	78
2	для того чтобы	2	70
3	на то что	7	55
4	в самом деле	7	51
5	заключается в том	3	36
6	о том что	4	34
7	с точки зрения	6	29
8	с одной стороны	3	28
9	все то что	2	23
10	не может быть	22	23
11	и т д	36	22
12	к тому что	2	20
13	с другой стороны	3	20
14	в том чтобы	2	20
15	не только не	4	16
16	мы видим что	2	16
17	во всяком случае	2	14
18	так же как	2	14
19	в этом отношении	2	14
20	в то время	4	14
21	само по себе	4	14
22	можно было бы	3	13
23	то время как	4	13
24	и в этом	2	13
25	сам по себе	4	12
26	в конце концов	2	12
27	этой точки зрения	3	12
28	указывает на то	3	12
29	то что он	2	11
30	подобно тому как	5	11
31	по сравнению с	7	11
32	с этой точки	3	10
33	сами по себе	3	10
34	вместе с тем	3	10
35	том что он	2	10
36	и то что	5	10
37	в данном случае	2	9
38	и то же	5	8
39	друг с другом	2	8
40	и таким образом	2	8
41	бы сказать что	2	7
42	в свою очередь	5	7
43	можно сказать что	3	7
44	только то что	3	7
45	одно и то	5	7
46	в этом смысле	2	7
47	более или менее	4	6
48	тем не менее	11	6
49	сама по себе	7	6
50	не что иное	12	6
51	было бы сказать	2	6
52	что иное как	12	6
53	мы не можем	3	6
54	то что мы	3	6
55	не только в	5	6
56	ни в каком	6	5
57	потому что они	4	5
58	мы видели что	3	5
59	в собственном смысле	3	5
60	как раз в	2	5
61	не имеет никакого	2	5
62	о том как	4	5
63	и в частности	2	5
64	есть не просто	2	4
65	вопрос о том	2	4
66	от того что	4	4
67	есть как бы	3	4
68	что это есть	3	4
69	ли это что	4	4
70	это и есть	4	4
71	из того что	3	4
72	в применении к	2	4
73	заключается не в	2	4
74	значит ли это	5	4
75	что оно есть	5	4
76	только тогда когда	2	4
77	в основе своей	2	4
78	то что у	2	4
79	бы то ни	12	3
80	а не только	2	3
81	то что оно	2	3
82	и что она	2	3
83	то и другое	6	3
84	в том или	2	3
85	не потому что	5	3
86	в нем нет	2	3
87	и что они	3	3
88	не есть еще	2	3
89	что она есть	3	3
90	в то же	5	3
91	что в ней	3	3
92	в отношении к	2	3
93	не может и	2	3
94	то же время	4	3
95	как бы его	2	3
96	так как мы	2	3
97	она должна быть	2	3
98	дело в том	4	3
99	в первом случае	2	2
100	то что я	2	2
101	она не может	3	2
102	было бы и	5	2
103	д и т	10	2
104	все же не	3	2
105	и для ее	2	2
106	то ни было	12	2
107	что то же	2	2
108	а следовательно и	2	2
109	есть не что	8	2
110	оно есть не	4	2
111	в чем же	5	2
112	а не к	2	2
113	тех или иных	2	2
114	по крайней мере	10	2
115	в каком случае	4	2
116	мы находим в	2	2
117	от всех прочих	3	2
118	той и другой	2	2
119	только о том	2	2
120	это значит что	25	2
121	того что она	2	2
122	не может не	3	2
123	если это так	2	2
124	вбирает в себя	3	2
125	не мог бы	2	2
126	и ничем не	2	2
127	и когда она	2	2
128	и тем не	5	2
129	т д и	11	2
130	как она есть	3	2
131	так или иначе	5	2
132	может быть только	6	2
133	мы имеем дело	2	2
134	сказать что оно	2	2
135	равно как и	4	2
