N	2gram	Tiupa_Anal	OGranits
1	и в	30	13
2	и его	9	12
3	прежде всего	8	9
4	и не	33	8
5	не может	26	8
6	может быть	33	8
7	в его	15	7
8	и их	2	7
9	точки зрения	10	7
10	эстетический объект	6	7
11	и т.п	13	7
12	не только	30	6
13	мы должны	2	6
14	как бы	15	6
15	таким образом	5	6
16	только в	8	6
17	то что	11	6
18	в поэзии	2	5
19	языка и	2	5
20	и т.д	4	5
21	эстетического объекта	11	5
22	все же	4	5
23	с точки	6	5
24	и наконец	2	5
25	хотя бы	4	5
26	художественного произведения	6	5
27	в процессе	2	5
28	но в	11	4
29	лишь в	12	4
30	то же	12	4
31	в сознании	6	4
32	но мы	2	4
33	не является	3	4
34	произведения как	8	4
35	в своей	7	4
36	все это	2	4
37	было бы	4	4
38	в двух	4	4
39	вопроса о	4	4
40	слов и	2	4
41	на фоне	5	4
42	никогда не	4	3
43	да и	2	3
44	одно и	2	3
45	и для	3	3
46	и то	4	3
47	и все	5	3
48	в ее	2	3
49	превращается в	3	3
50	отношению к	9	3
51	как и	23	3
52	в пределах	11	3
53	не в	17	3
54	в их	8	3
55	говорить о	3	3
56	так как	3	3
57	в себе	17	3
58	что в	7	3
59	по отношению	10	3
60	самом деле	3	3
61	за пределы	6	3
62	так и	16	3
63	что же	3	3
64	в которой	3	3
65	не как	2	3
66	в одном	3	3
67	в искусстве	2	3
68	но и	29	3
69	не столько	5	3
70	в самом	12	2
71	могут быть	12	2
72	может иметь	2	2
73	собственно говоря	6	2
74	своего рода	12	2
75	в этом	31	2
76	для себя	3	2
77	данном случае	3	2
78	в том	36	2
79	тем что	2	2
80	в отношении	2	2
81	есть не	9	2
82	несмотря на	5	2
83	в целом	9	2
84	если бы	6	2
85	в произведении	7	2
86	думать что	2	2
87	с одной	7	2
88	или иного	3	2
89	роль в	3	2
90	ее в	2	2
91	более того	4	2
92	во времени	6	2
93	в действительности	2	2
94	с другой	7	2
95	а в	11	2
96	и тем	4	2
97	том что	21	2
98	того или	3	2
99	а как	4	2
100	а также	8	2
101	и к	5	2
102	в связи	2	2
103	в данном	6	2
104	объект и	2	2
105	не менее	5	2
106	с ними	2	2
107	все эти	3	2
108	художественное произведение	5	2
109	к предмету	4	2
110	в области	4	2
111	от своего	3	2
112	мы уже	2	2
113	те же	3	2
114	нуждается в	9	2
115	с этой	2	2
116	в полном	2	2
117	в нем	3	2
118	истории литературы	4	2
119	при этом	20	2
120	нет ничего	2	2
121	что иное	6	2
122	а не	25	2
123	вслед за	3	2
124	литературного произведения	50	2
125	еще в	4	2
126	как в	3	2
127	другой стороны	2	2
128	и является	4	2
129	одной стороны	6	2
130	бы в	3	2
131	между тем	7	2
132	в чем	2	2
133	имеет место	6	2
134	соответствии с	3	2
135	тот же	2	2
136	иное как	6	2
137	не что	5	2
138	ни одно	2	2
139	в другом	4	2
140	вовсе не	4	2
141	литературное произведение	12	2
142	к тому	12	2
143	не мог	3	2
144	в которую	2	2
145	для него	5	2
