N	3gram	Vinokur_Ku	Komedia
1	в том что	23	29
2	до сих пор	5	16
3	то же время	4	16
4	в то же	4	16
5	о том что	6	13
6	в самом деле	14	13
7	для того чтобы	21	11
8	и т п	39	11
9	в свою очередь	4	10
10	по отношению к	8	9
11	с одной стороны	2	9
12	вместе с тем	3	9
13	речь идет о	3	8
14	с другой стороны	12	8
15	и в самом	4	8
16	в первую очередь	3	7
17	в конце концов	3	7
18	во всяком случае	8	7
19	так или иначе	3	7
20	после того как	2	6
21	в связи с	4	6
22	с точки зрения	16	6
23	не говоря уже	2	6
24	в отличие от	3	6
25	и т д	21	5
26	в этом отношении	8	5
27	том что он	4	5
28	о том как	3	5
29	тем не менее	9	5
30	чуть ли не	3	4
31	т е в	3	4
32	и с этой	2	4
33	к тому что	2	4
34	в этой области	3	4
35	можно было бы	11	4
36	но все же	3	4
37	более или менее	3	3
38	в соответствии с	5	3
39	таким образом в	2	3
40	то обстоятельство что	15	3
41	на мой взгляд	2	3
42	на то что	3	3
43	состоит в том	4	3
44	в тех случаях	2	2
45	только для того	2	2
46	в большинстве случаев	2	2
47	только в том	5	2
48	в зависимости от	7	2
49	точно так же	4	2
50	тех случаях когда	2	2
51	так и в	2	2
52	не только в	4	2
53	мере в какой	6	2
54	и в том	2	2
55	в этом случае	4	2
56	сплошь да рядом	3	2
57	так же как	3	2
58	в конечном счете	2	2
59	только потому что	11	2
60	этой точки зрения	4	2
61	в этом смысле	8	2
62	с этой точки	3	2
63	в каждом из	2	2
