N	3gram	Bakhtin_Pr	EvropaiE
1	с точки зрения	6	16
2	в то же	3	15
3	то же время	3	14
4	с одной стороны	3	8
5	и в то	2	8
6	в том что	3	6
7	для того чтобы	2	5
8	то ни было	2	4
9	бы то ни	3	4
10	той или иной	2	4
11	не только в	2	4
12	того или иного	2	4
13	и прежде всего	5	3
14	в применении к	3	3
15	в этом отношении	2	3
16	в известной степени	2	3
17	можно сказать что	2	3
18	в этом смысле	3	3
19	можно было бы	3	3
20	в данном случае	4	2
21	с другой стороны	4	2
22	и в частности	2	2
23	в большинстве случаев	5	2
24	так и в	2	2
25	мы можем сказать	2	2
26	не может быть	11	2
27	имеет место в	2	2
