N	2gram	Vygotskiy_	Formalny
1	и в	55	95
2	и не	19	78
3	может быть	34	66
4	в этом	30	61
5	не может	15	57
6	вовсе не	8	53
7	таким образом	35	52
8	и его	10	51
9	так и	6	50
10	точки зрения	15	47
11	в нем	13	42
12	в его	8	42
13	прежде всего	6	41
14	с точки	5	40
15	как и	9	39
16	и т	12	37
17	художественного произведения	3	36
18	не в	12	35
19	в самом	18	35
20	а не	16	34
21	но и	16	33
22	то же	16	32
23	самом деле	17	32
24	не только	24	30
25	в пределах	3	28
26	в том	50	26
27	если бы	21	26
28	то что	69	25
29	на самом	9	24
30	при этом	11	24
31	в своей	8	24
32	в ней	5	23
33	связи с	2	23
34	было бы	15	23
35	с помощью	3	23
36	в то	6	22
37	поэтический язык	2	22
38	как бы	33	21
39	что в	43	21
40	и с	3	21
41	в их	3	20
42	между ними	2	20
43	и от	2	20
44	с тем	10	20
45	как мы	6	20
46	же время	2	20
47	не могут	4	19
48	все это	8	19
49	хотя бы	5	19
50	т д	6	19
51	художественное произведение	5	19
52	по себе	13	19
53	т п	5	18
54	все же	11	18
55	и все	15	18
56	все эти	5	18
57	должна быть	2	18
58	с его	6	18
59	и их	3	18
60	только в	12	18
61	как в	4	17
62	как раз	19	17
63	так же	19	16
64	в искусстве	12	16
65	во всяком	2	16
66	совершенно не	11	16
67	с другой	12	16
68	потому что	48	16
69	его в	2	15
70	все время	44	15
71	но в	7	15
72	в поэзии	5	15
73	бы в	7	15
74	так как	20	15
75	должно быть	6	15
76	во всех	6	15
77	именно в	9	15
78	и на	12	15
79	что он	30	14
80	только на	4	14
81	в целом	7	14
82	в ее	3	14
83	в своем	12	14
84	еще не	6	14
85	в жизни	2	14
86	в этой	15	14
87	если мы	24	14
88	и потому	8	14
89	жизни и	8	14
90	вместе с	16	14
91	до конца	7	13
92	со стороны	3	13
93	того что	12	13
94	говорит он	2	13
95	а в	7	13
96	могут быть	8	13
97	что и	11	13
98	сводится к	7	13
99	в результате	6	13
100	тем что	8	13
101	ни в	5	13
102	в действительности	2	12
103	по отношению	3	12
104	как это	16	12
105	того чтобы	43	12
106	там где	6	12
107	и здесь	11	12
108	к тому	12	12
109	отношению к	2	12
110	и для	13	12
111	оно не	2	12
112	никогда не	15	11
113	этом отношении	3	11
114	это и	7	11
115	в корне	2	11
116	они не	3	11
117	в основе	9	11
118	но не	9	11
119	слова и	2	11
120	что они	11	11
121	для него	5	11
122	зависимости от	9	11
123	между тем	4	11
124	не есть	4	10
125	не как	3	10
126	каждый элемент	2	10
127	и др	2	10
128	в художественном	4	10
129	формы и	4	10
130	в зависимости	7	10
131	мы не	8	10
132	не было	2	10
133	по существу	4	10
134	мы видели	2	10
135	другой стороны	8	10
136	не является	3	10
137	материала и	6	10
138	и как	10	10
139	в своих	9	10
140	главным образом	3	10
141	и теперь	2	10
142	конечно не	3	10
143	он не	10	10
144	если же	3	10
145	тем же	3	10
146	быть и	2	9
147	ничего не	4	9
148	для понимания	3	9
149	совсем не	3	9
150	но это	2	9
151	и до	4	9
152	и может	3	9
153	в каждом	2	9
154	и даже	4	9
155	но ведь	2	9
156	у нас	7	9
157	не могло	2	9
158	литературы и	2	9
