N	2gram	Tiupa_Disk	VLabPisa
1	таким образом	4	32
2	в этом	29	29
3	не только	36	26
4	и в	27	26
5	может быть	29	23
6	хотя бы	3	20
7	и не	25	20
8	в процессе	6	17
9	не может	17	17
10	в том	29	15
11	в его	9	15
12	этом отношении	4	14
13	в силу	5	14
14	прежде всего	17	13
15	все это	2	13
16	в частности	18	12
17	как это	2	12
18	в качестве	45	12
19	что в	8	11
20	с другой	14	11
21	из них	6	11
22	то же	12	10
23	не могут	2	10
24	но и	22	10
25	и др	3	10
26	о том	12	10
27	к этому	4	9
28	об этом	3	9
29	для него	9	9
30	в своем	11	8
31	том что	27	8
32	не следует	4	8
33	по словам	4	8
34	говорит и	2	8
35	могут быть	5	8
36	другой стороны	5	8
37	все эти	2	8
38	только в	9	8
39	вместе с	3	8
40	это не	5	7
41	из этих	3	7
42	во всех	6	7
43	по отношению	13	7
44	в году	3	7
45	то что	10	7
46	отношению к	13	7
47	как и	27	7
48	их в	2	7
49	в нем	16	7
50	в конечном	2	7
51	не было	9	7
52	а не	35	7
53	произведения как	2	6
54	не в	8	6
55	в то	8	6
56	в себе	22	6
57	или менее	2	6
58	это и	2	6
59	все же	8	6
60	так и	14	6
61	более или	2	6
62	приводит к	4	6
63	один из	3	6
64	и его	4	6
65	между тем	5	6
66	никогда не	3	5
67	сказать что	4	5
68	в одном	5	5
69	конечном счете	2	5
70	перед нами	4	5
71	в результате	3	5
72	в пределах	4	5
73	в их	5	5
74	не является	5	5
75	одним из	2	5
76	к тому	6	5
77	как бы	9	5
78	в них	6	5
79	в целом	5	5
80	связи с	4	5
81	же время	9	5
82	и есть	2	5
83	и ее	5	4
84	различного рода	3	4
85	одном из	2	4
86	роль в	10	4
87	в виду	2	4
88	что он	6	4
89	когда он	3	4
90	отнюдь не	11	4
91	в самом	4	4
92	в ее	4	4
93	в своей	10	4
94	является не	2	4
95	можно сказать	7	4
96	в этой	5	4
97	с его	9	4
98	не столь	2	3
99	и от	2	3
100	например в	4	3
101	и к	4	3
102	с этим	3	3
103	мы имеем	4	3
104	но как	2	3
105	и он	2	3
106	в форме	2	3
107	в значительной	3	3
108	и как	9	3
109	тому как	5	3
110	подобно тому	4	3
111	того что	4	3
112	далеко не	10	3
113	имеет свою	3	3
114	а в	5	3
115	или меньшей	2	3
116	в котором	7	3
117	в творчестве	4	3
118	именно в	5	3
119	точки зрения	6	3
120	мира и	3	3
121	в которых	5	3
122	большей или	2	3
123	что не	4	3
124	жизни и	2	3
125	что и	5	3
126	сводится к	7	3
127	и по	2	3
128	или в	2	3
129	момент в	3	3
130	к работе	2	3
131	в противоположность	6	3
132	можно определить	2	2
133	не о	2	2
134	определить как	2	2
135	в книге	2	2
136	если в	2	2
137	да и	2	2
138	чтобы не	2	2
139	или иной	8	2
140	и потому	3	2
141	до нас	2	2
142	того или	3	2
143	не подлежит	2	2
144	слова не	3	2
145	только то	2	2
146	так сказать	3	2
147	а к	3	2
148	о чем	4	2
149	одной стороны	12	2
150	крайней мере	3	2
151	вплоть до	2	2
152	который по	3	2
153	в каждом	2	2
154	при всей	9	2
155	должно быть	2	2
156	отличается от	3	2
157	в другом	5	2
158	а о	2	2
159	и даже	4	2
160	ли не	3	2
161	мысль о	3	2
162	в особенности	5	2
163	не всегда	2	2
164	в области	3	2
165	и наконец	2	2
166	в науке	2	2
167	по слову	4	2
168	еще не	20	2
169	в которой	2	2
170	не приходится	2	2
171	частности в	2	2
172	по крайней	3	2
173	что ни	3	2
174	в чем	2	2
175	с одной	12	2
176	же самое	2	2
177	что даже	2	2
178	заключается в	3	2
179	не с	4	2
180	одной из	4	2
181	так например	2	2
182	в жизни	2	2
183	они и	3	2
184	к ним	3	2
185	том чтобы	2	2
186	но не	17	2
187	стороны и	3	2
188	также и	6	2
189	не менее	6	2
190	на него	2	2
191	но в	15	2
192	они не	2	2
193	рассказывает что	2	2
194	зависит от	2	2
195	в своих	6	2
196	пока еще	7	2
197	в ней	2	2
198	будто бы	3	2
199	к его	5	2
200	но для	2	2
201	на этом	3	2
202	не столько	3	2
203	по себе	3	2
204	всяком случае	2	2
205	внимание на	5	2
206	человека в	6	2
207	словесного выражения	2	2
208	должны быть	3	2
209	он сам	2	2
210	числе и	3	2
211	говорить о	3	2
212	было в	4	2
213	и может	3	2
214	только о	2	2
215	он не	4	2
216	и сам	2	2
217	должна быть	2	2
218	персонажей и	2	2
219	в различных	2	2
220	хотя и	3	2
221	лишь в	4	2
222	том числе	3	2
223	во всяком	3	2
