N	2gram	Vinokur_St	Tragedij
1	и в	61	18
2	в романе	4	10
3	в году	3	9
4	в этом	37	9
5	не только	36	8
6	и не	23	7
7	и на	7	7
8	как бы	8	7
9	и с	6	7
10	может быть	16	7
11	же время	5	6
12	что он	23	6
13	но в	16	6
14	и его	11	6
15	в образе	3	6
16	у него	3	6
17	это очень	5	5
18	несмотря на	4	5
19	что это	5	5
20	все же	12	5
21	это не	8	5
22	то же	7	5
23	как и	11	5
24	так и	15	5
25	не может	10	5
26	в то	10	5
27	что в	41	4
28	еще не	4	4
29	в целом	5	4
30	но и	28	4
31	прежде всего	11	4
32	об этом	9	4
33	том что	49	4
34	в этой	13	4
35	и что	8	4
36	так же	7	4
37	и все	3	4
38	все это	13	4
39	в нем	9	4
40	что я	3	4
41	то что	27	4
42	но это	9	4
43	я не	13	4
44	и даже	8	4
45	в себе	3	4
46	своего рода	7	3
47	и как	2	3
48	уже в	3	3
49	тем самым	2	3
50	к нему	2	3
51	в своем	8	3
52	при этом	4	3
53	в его	19	3
54	что с	4	3
55	все эти	7	3
56	и он	2	3
57	о чем	4	3
58	и сам	4	3
59	как будто	5	3
60	никто не	4	3
61	как в	15	3
62	как это	6	3
63	для него	10	3
64	то есть	2	3
65	в конце	5	3
66	никогда не	7	2
67	в самом	14	2
68	и то	6	2
69	но все	9	2
70	данном случае	7	2
71	по поводу	13	2
72	до конца	4	2
73	с тем	3	2
74	точно так	2	2
75	тем что	6	2
76	вопрос о	9	2
77	в одном	7	2
78	его в	4	2
79	не имеет	5	2
80	в виде	3	2
81	ничего не	6	2
82	в данном	16	2
83	в письмах	2	2
84	не могут	2	2
85	в ее	6	2
86	что все	3	2
87	вряд ли	8	2
88	к тому	9	2
89	а как	5	2
90	говорит о	5	2
91	о том	30	2
92	что и	8	2
93	ни в	5	2
94	не в	15	2
95	столь же	5	2
96	это был	3	2
97	и здесь	2	2
98	потому что	13	2
99	одном из	4	2
100	было в	2	2
101	что этот	3	2
102	по словам	7	2
103	не просто	2	2
104	и я	5	2
105	в частности	6	2
106	в таком	4	2
107	так что	8	2
108	он не	11	2
109	и за	3	2
110	в первом	2	2
111	бы и	4	2
112	только к	2	2
113	что она	5	2
114	по мнению	4	2
115	и это	4	2
116	говорит что	4	2
117	если б	5	2
118	на меня	2	2
119	но они	3	2
120	не так	2	2
121	в том	56	2
122	и до	2	2
123	чем он	3	2
124	как говорит	3	2
125	не мог	3	2
126	еще в	3	2
127	с его	3	2
128	он был	5	2
129	в это	3	2
130	отношение к	3	2
