N	3gram	Losev_Prob	Stilisti
1	в то же	2	9
2	для того чтобы	3	7
3	с точки зрения	13	5
4	того или иного	2	5
5	с самого начала	3	4
6	то же самое	2	4
7	той или иной	4	4
8	в свою очередь	2	4
9	в конце концов	7	3
10	на самом деле	2	3
11	не только в	5	3
12	но все же	2	3
13	но и в	2	3
14	тех или иных	2	3
15	вместе с тем	5	2
16	в связи с	11	2
17	что иное как	3	2
18	и как бы	2	2
19	в этом отношении	4	2
20	само собой разумеется	2	2
21	что перед нами	2	2
22	можно сказать что	4	2
23	по отношению к	2	2
24	но в то	2	2
25	о том что	14	2
26	не что иное	3	2
27	не может быть	2	2
28	равно как и	2	2
