N	2gram	Nazirov_Vr	Istorich
1	и в	8	181
2	т е	3	133
3	может быть	4	115
4	не только	9	114
5	что он	4	111
6	что в	7	90
7	но и	7	85
8	в этом	8	81
9	то что	7	73
10	таким образом	2	72
11	вместе с	2	71
12	и не	5	67
13	все же	6	65
14	еще не	2	63
15	не может	2	61
16	так же	4	57
17	то же	5	56
18	никогда не	2	56
19	в том	3	53
20	том что	3	53
21	а в	2	52
22	и что	8	51
23	о том	4	48
24	его в	3	47
25	но в	6	44
26	это не	4	43
27	и его	3	43
28	мы знаем	2	42
29	в нем	6	42
30	в его	3	38
31	для нас	4	38
32	тем что	3	38
33	он не	3	37
34	уже не	2	37
35	как и	6	37
36	во время	2	34
37	связи с	3	34
38	у него	5	34
39	же как	2	33
40	об этом	5	33
41	так в	2	31
42	при помощи	2	30
43	в русской	3	30
44	но это	2	29
45	и с	6	28
46	в ней	4	26
47	и он	2	25
48	к этому	3	24
49	не менее	2	24
50	все это	4	23
51	в этой	2	23
52	их в	2	23
53	и это	2	23
54	как бы	4	23
55	при этом	4	22
56	с ним	4	22
57	в связи	3	21
58	одна из	2	20
59	из них	2	20
60	наряду с	3	20
61	и как	3	19
62	что у	3	19
63	на то	3	19
64	но он	3	19
65	после этого	2	18
66	в то	5	18
67	в них	2	17
68	и все	7	16
69	в котором	6	16
70	в своей	2	15
71	и то	2	15
72	его и	2	15
73	и даже	6	15
74	отношение к	2	14
75	а также	2	14
76	в него	2	14
77	его на	2	14
78	и ее	2	14
79	тогда как	2	13
80	в своем	3	13
81	и у	3	13
82	в себе	2	13
83	после смерти	2	13
84	в русских	2	12
85	ответ на	2	12
86	одним из	3	12
87	к себе	2	12
88	о нем	6	12
89	точки зрения	2	11
90	в этот	3	11
91	уже в	4	11
92	человека в	3	11
93	далеко не	3	11
94	же в	2	11
95	я не	3	11
96	но как	2	10
97	к ним	2	10
98	там же	2	10
99	не мог	2	10
100	на основе	2	10
101	а с	2	10
102	о чем	2	10
103	в это	2	10
104	не было	5	10
105	в истории	4	9
106	в свою	2	9
107	на первый	2	9
108	же не	2	9
109	в чем	3	9
110	с его	3	9
111	целый ряд	4	9
112	на это	2	8
113	и стал	2	8
114	его с	2	8
115	он был	3	8
116	в конце	3	7
117	и о	3	7
118	этот момент	2	7
119	в начале	6	7
120	что я	2	7
121	между тем	5	7
122	в эту	2	7
123	ко мне	2	7
124	об этой	2	7
125	для него	2	7
126	и уже	3	6
127	на место	2	6
128	в одну	2	6
129	пришел к	2	6
130	чтобы он	3	6
131	довольно много	2	6
132	отношения к	2	6
133	в своих	4	5
134	эти слова	3	5
135	это в	2	5
136	несмотря на	4	5
137	в виду	4	5
138	в нашей	2	5
139	и во	3	4
140	тем более	2	4
141	столь же	2	4
142	что есть	3	4
143	как раз	2	4
144	он сам	2	4
145	отнюдь не	2	4
146	с точки	2	4
147	матери и	3	4
148	человека с	2	4
149	как же	2	3
150	речь идет	3	3
151	могли быть	2	3
152	в эти	2	3
153	о себе	3	3
154	начиная с	2	3
155	время он	2	3
156	который был	3	3
157	с которым	2	3
158	в момент	2	2
159	что к	2	2
160	в меня	2	2
161	в мире	2	2
162	и далее	2	2
163	ряд деталей	2	2
164	он пишет	2	2
165	место в	2	2
166	по мнению	2	2
167	но после	2	2
168	во многом	4	2
