N	2gram	Tiupa_Vved	formyVre
1	и в	23	148
2	в этом	27	73
3	то есть	13	70
4	в романе	6	58
5	в нем	9	51
6	прежде всего	11	46
7	и не	24	37
8	в его	9	36
9	и его	9	36
10	но и	31	33
11	то же	8	32
12	не только	32	32
13	в литературе	2	32
14	но в	14	31
15	жизни и	8	31
16	так и	14	29
17	времени в	3	27
18	может быть	25	27
19	не в	12	26
20	как мы	5	26
21	как и	21	25
22	как бы	8	25
23	человеческой жизни	4	24
24	в то	5	23
25	человека в	2	23
26	времени и	7	23
27	только в	9	23
28	то что	9	22
29	в том	21	22
30	жизни в	5	21
31	связи с	2	21
32	во всех	2	21
33	же время	4	21
34	в своем	9	19
35	и др	2	19
36	и для	8	19
37	и на	5	19
38	у него	8	18
39	и все	8	18
40	еще не	8	18
41	таким образом	6	18
42	те же	2	17
43	при этом	43	17
44	в особенности	3	17
45	в пределах	3	17
46	все же	10	16
47	и во	2	16
48	в основе	6	16
49	не может	14	16
50	никогда не	6	15
51	в разных	2	15
52	в них	4	15
53	лишь в	4	15
54	так сказать	2	15
55	в одном	5	15
56	вместе с	2	15
57	так же	2	14
58	все это	3	14
59	и как	2	14
60	в конце	3	14
61	и с	2	14
62	как раз	5	14
63	а не	31	14
64	роль в	2	13
65	в их	2	13
66	в частности	19	13
67	а в	15	13
68	того чтобы	2	13
69	же в	3	13
70	во время	3	13
71	как в	8	13
72	в котором	11	13
73	в самом	6	13
74	с ним	3	13
75	ничего не	3	12
76	отнюдь не	14	12
77	не было	5	12
78	и наконец	2	12
79	но не	9	12
80	потому что	7	12
81	это время	2	12
82	он не	6	12
83	что в	6	12
84	и у	2	11
85	в ней	5	11
86	хотя и	10	11
87	и времени	2	11
88	уже в	2	11
89	мира и	5	11
90	здесь не	2	10
91	также и	6	10
92	входит в	2	10
93	уже не	7	10
94	и того	3	10
95	на основе	2	10
96	могут быть	5	9
97	к себе	2	9
98	наряду с	2	9
99	том что	16	9
100	и даже	3	9
101	мира в	8	9
102	и это	2	9
103	с другой	10	9
104	на протяжении	2	9
105	для него	5	9
106	есть в	2	9
107	их в	3	9
108	оно не	2	9
109	до конца	5	8
110	это не	7	8
111	или иной	5	8
112	для себя	2	8
113	хронотопа в	2	8
114	и потому	2	8
115	к тому	9	8
116	отношение к	5	8
117	в целом	4	8
118	и т.п	14	8
119	один из	3	8
120	что и	6	8
121	во всяком	3	8
122	здесь мы	2	8
123	а также	12	8
124	в результате	5	8
125	в этот	3	8
126	и по	3	8
127	если бы	10	8
128	героя и	5	8
129	в этих	5	8
130	отношению к	11	8
131	с одной	9	8
132	в жизни	7	8
133	в мире	9	8
134	и к	2	8
135	в виду	3	8
136	на фоне	3	8
137	во времени	2	7
138	в себе	15	7
139	не как	2	7
140	у них	3	7
141	отличие от	11	7
142	не знает	2	7
143	картину мира	5	7
144	того что	7	7
145	между собой	2	7
146	в той	5	7
147	место в	2	7
148	было бы	4	7
149	например в	2	7
150	имеет место	6	7
151	к этому	3	7
152	из этих	5	7
153	и он	4	7
154	с ее	3	7
155	этом отношении	7	7
156	не могло	2	7
157	к ним	4	7
158	в отличие	11	7
159	еще более	2	7
160	нет ничего	2	7
161	но он	2	7
162	все они	2	6
163	и ее	2	6
164	с самим	2	6
165	здесь как	2	6
166	друг от	2	6
167	своей жизни	3	6
168	и героини	2	6
169	одной стороны	9	6
170	между двумя	5	6
171	в качестве	18	6
172	событий и	2	6
173	тех же	2	6
174	в начале	3	6
175	особенно в	3	6
176	мы не	6	6
177	мы можем	2	6
178	на первый	3	6
179	в сущности	3	6
180	не является	7	6
181	о том	7	6
182	все что	3	6
183	в которых	2	6
184	от друга	2	6
185	в таком	2	6
186	слова и	3	6
187	стороны и	4	5
188	о чем	4	5
189	и через	2	5
190	по своей	4	5
191	только на	2	5
192	в него	2	5
193	в едином	3	5
194	они не	3	5
195	с ними	2	5
196	в ряду	2	5
197	той или	5	5
198	не на	3	5
199	что они	2	5
200	в этой	2	5
201	и от	3	5
202	хотя бы	2	5
203	мы имеем	8	5
204	в своей	10	5
205	об этом	5	5
206	тем что	2	5
207	было и	2	5
208	но они	3	5
209	быть только	2	5
210	не имеет	3	5
211	далеко не	5	5
212	да и	3	5
213	человек в	4	5
214	но на	2	5
215	точка зрения	3	5
216	или в	3	5
217	и только	2	5
