N	3gram	Vygotskiy_	formyVre
1	в связи с	6	15
2	как мы уже	2	15
3	с точки зрения	12	15
4	друг с другом	10	13
5	для того чтобы	20	12
6	до сих пор	3	10
7	одного и того	8	9
8	и того же	8	9
9	мы уже говорили	2	9
10	в том числе	2	8
11	в этом отношении	7	7
12	в отличие от	3	7
13	не может быть	4	7
14	с одной стороны	10	6
15	друг от друга	5	6
16	в том что	33	5
17	на первый план	2	5
18	том числе и	2	5
19	в то время	4	5
20	одной стороны и	2	5
21	то время как	4	4
22	включает в себя	2	4
23	в этом случае	5	4
24	друг на друга	2	4
25	с другой стороны	8	4
26	но все же	2	4
27	во всяком случае	2	4
28	по отношению к	19	4
29	но при этом	2	3
30	и в частности	3	3
31	то же самое	7	3
32	друг к другу	3	3
33	в другом месте	4	3
34	в зависимости от	2	3
35	о том как	3	3
36	о том что	7	3
37	вместе с тем	4	3
38	так же как	9	3
39	между этими двумя	2	3
40	с самого начала	8	3
41	же как и	2	3
42	по сравнению с	9	3
43	это значит что	4	2
44	но он не	5	2
45	к тому что	5	2
46	можно сказать что	7	2
47	все более и	3	2
48	того что было	2	2
49	с тем что	3	2
50	по своей природе	2	2
51	вообще не может	2	2
52	с ним но	2	2
53	в данном случае	3	2
54	лежит в основе	2	2
55	но в этом	2	2
56	более и более	3	2
57	что должно быть	3	2
58	в свою очередь	4	2
