N	3gram	Tiupa_Anal	Mirosoze
1	не может быть	17	28
2	а не в	3	9
3	в том что	13	9
4	для того чтобы	3	7
5	о том что	8	6
6	и в этом	4	6
7	прежде всего в	2	5
8	но и в	3	5
9	по отношению к	9	4
10	на то что	2	4
11	и в самом	3	4
12	не что иное	5	4
13	что иное как	6	4
14	а не только	2	3
15	том что он	2	3
16	как и в	2	3
17	к тому что	2	3
18	есть не что	4	3
19	как бы не	2	3
20	между тем как	2	2
21	подобно тому как	5	2
22	это означает что	2	2
23	в этом отношении	5	2
24	не только в	3	2
25	так и не	5	2
26	не могут быть	2	2
27	и не может	4	2
28	и те же	2	2
29	по природе своей	3	2
