N	2gram	Tiupa_Narr	Sotsiolo
1	в том	20	5
2	в этом	23	5
3	более чем	2	3
4	для нас	2	3
5	не только	50	3
6	и только	2	3
7	в его	12	3
8	не в	12	3
9	и в	22	3
10	это и	2	2
11	она может	2	2
12	дело не	3	2
13	должна быть	2	2
14	отношению к	5	2
15	по отношению	5	2
16	еще не	6	2
17	только в	23	2
18	что в	6	2
19	тем более	2	2
20	в частности	23	2
21	том что	15	2
22	было бы	2	2
23	таким образом	5	2
24	то же	12	2
25	как будто	4	2
26	то что	14	2
27	как бы	11	2
28	но и	39	2
29	в конце	4	2
30	или даже	3	2
31	далеко не	6	2
32	может быть	24	2
33	в результате	4	2
