N	2gram	Savitsky_E	Psycholo
1	то что	6	193
2	и в	37	190
3	в том	11	163
4	что в	21	123
5	потому что	3	114
6	том что	6	113
7	и что	2	108
8	может быть	6	107
9	таким образом	2	102
10	в этом	12	100
11	то есть	6	97
12	в самом	4	82
13	как бы	6	80
14	для того	6	78
15	того чтобы	6	78
16	не только	18	75
17	на то	6	73
18	и не	14	73
19	точки зрения	23	69
20	не может	9	68
21	так как	7	63
22	так же	9	63
23	было бы	8	56
24	если бы	2	55
25	и мы	3	54
26	то же	15	54
27	о том	3	54
28	как и	7	51
29	что и	3	50
30	а не	2	50
31	что это	2	49
32	заключается в	2	46
33	только в	9	46
34	сказать что	4	46
35	по себе	4	46
36	к тому	8	45
37	не в	5	45
38	в этой	2	43
39	никогда не	3	42
40	и все	2	42
41	вместе с	2	41
42	с и	10	40
43	как это	4	40
44	но и	14	40
45	при помощи	2	39
46	того что	7	39
47	мы видим	2	37
48	и как	2	36
49	с тем	3	35
50	вовсе не	6	34
51	и если	2	34
52	как на	3	34
53	что все	2	33
54	когда он	3	33
55	в себе	9	32
56	в ней	4	31
57	мы не	4	31
58	в его	2	31
59	он не	2	31
60	для нас	4	31
61	как будто	2	30
62	как в	3	30
63	с одной	8	29
64	и для	3	29
65	с точки	17	29
66	одной стороны	8	29
67	и то	2	28
68	мы можем	3	28
69	с другой	7	27
70	в своих	2	27
71	а в	2	27
72	и на	6	27
73	жизни и	2	25
74	тем что	3	24
75	в своем	14	23
76	целый ряд	2	23
77	что если	2	23
78	могут быть	2	23
79	и даже	6	22
80	с этим	2	22
81	между тем	8	22
82	из них	3	22
83	в своей	8	21
84	как мы	5	21
85	в котором	2	21
86	в которых	3	21
87	и только	3	21
88	она не	2	20
89	в то	16	20
90	несмотря на	4	20
91	там где	3	20
92	другой стороны	2	20
93	мы должны	2	19
94	в ее	8	19
95	в какой	2	19
96	в одном	2	19
97	в каком	4	18
98	но в	14	18
99	но не	5	18
100	с этой	6	18
101	вслед за	6	18
102	есть не	2	18
103	можно было	3	18
104	иначе говоря	2	17
105	во всяком	3	17
106	так и	10	16
