N	3gram	Tiupa_Vved	Marksizm
1	не может быть	6	25
2	в самом деле	2	19
3	в то же	5	15
4	по отношению к	11	15
5	то же время	4	15
6	в том что	10	14
7	в высшей степени	2	12
8	в отличие от	11	10
9	то же самое	2	8
10	с другой стороны	2	7
11	в свою очередь	5	7
12	во всяком случае	3	6
13	на самом деле	4	6
14	на то что	2	6
15	с одной стороны	9	6
16	той или иной	4	5
17	как мы видели	3	5
18	в этом отношении	7	5
19	о том что	6	4
20	но при этом	3	3
21	тем не менее	3	3
22	более или менее	2	3
23	можно было бы	2	3
24	одной стороны и	3	3
25	не только в	3	3
26	но и в	3	3
27	в значительной степени	2	3
28	в этом направлении	2	2
29	с установкой на	2	2
30	в противном случае	2	2
31	в данном случае	15	2
32	как и в	2	2
33	к тому же	6	2
34	друг от друга	2	2
35	в нашем случае	3	2
