N	3gram	Losev_Dial	Marksizm
1	с точки зрения	25	46
2	не может быть	12	25
3	в самом деле	6	19
4	в то же	3	15
5	то же время	3	15
6	в связи с	3	14
7	в том что	12	14
8	бы то ни	2	12
9	с другой стороны	3	7
10	во всяком случае	3	6
11	на то что	3	6
12	с одной стороны	3	6
13	и пр и	2	6
14	той или иной	2	5
15	и как бы	2	5
16	в таком случае	11	5
17	в этом отношении	2	5
18	к тому что	2	5
19	и прежде всего	6	4
20	о том что	6	4
21	и пр в	2	4
22	в нем нет	2	4
23	в зависимости от	3	4
24	и то же	2	3
25	тем не менее	10	3
26	на первый план	4	3
27	одной и той	4	3
28	не могут быть	3	3
29	одно и то	2	3
30	и той же	4	3
31	в данный момент	2	3
32	и в этом	4	3
33	и та же	3	2
34	по крайней мере	10	2
35	а не только	2	2
36	в коем случае	4	2
37	от того что	4	2
38	само по себе	8	2
39	в чем же	2	2
40	ничего общего не	2	2
41	ни в коем	4	2
42	одна и та	3	2
43	так же как	2	2
44	в данном случае	3	2
45	как и в	3	2
46	сами по себе	3	2
47	к тому же	2	2
48	сама по себе	11	2
49	тот или иной	2	2
50	– все это	2	2
51	как и все	5	2
52	в последнее время	2	2
53	так или иначе	2	2
54	при этом условии	2	2
55	есть прежде всего	4	2
56	существует таким образом	2	2
57	того или иного	3	2
58	это и есть	4	2
