N	2gram	Tiupa_Narr	Myslijsy
1	потому что	7	182
2	то есть	15	142
3	и в	22	121
4	может быть	24	107
5	в том	20	103
6	то что	14	83
7	в слове	4	78
8	для нас	2	75
9	что в	6	73
10	и не	34	73
11	только в	23	72
12	не только	50	67
13	а не	27	67
14	таким образом	5	64
15	том что	15	59
16	в этом	23	59
17	но и	39	59
18	то же	12	56
19	не в	12	54
20	если бы	9	53
21	в себе	14	53
22	не может	16	52
23	по себе	4	52
24	того что	7	47
25	в сознании	6	46
26	в душе	3	45
27	в нем	9	45
28	было бы	2	45
29	как и	15	42
30	вместе с	3	39
31	мы не	5	38
32	что и	3	38
33	так и	12	37
34	при этом	31	37
35	как в	9	37
36	что мы	2	36
37	точно так	2	35
38	по отношению	5	30
39	а в	19	30
40	но не	7	29
41	что не	2	29
42	между тем	5	29
43	вовсе не	2	28
44	мы можем	2	28
45	для него	8	28
46	и т	3	26
47	то и	3	26
48	не было	3	26
49	отношению к	5	26
50	в то	9	24
51	как бы	11	23
52	но в	10	22
53	а потому	2	22
54	по мере	2	22
55	не имеет	3	22
56	с другой	6	22
57	и потому	2	21
58	не менее	6	21
59	в ней	5	20
60	в одном	5	20
61	это не	6	20
62	тем самым	9	19
63	заключает в	2	19
64	и как	4	19
65	с ним	6	19
66	и то	3	19
67	сказать что	5	19
68	что это	4	19
69	из этих	6	19
70	но это	2	19
71	тем не	7	19
72	о том	5	19
73	того же	2	19
74	для того	4	18
75	еще не	6	18
76	в человеке	2	18
77	тогда как	23	18
78	по поводу	3	18
79	в самом	8	18
80	что я	4	18
81	в таком	4	18
82	в его	12	17
83	со стороны	14	17
84	точки зрения	8	17
85	во всяком	2	17
86	не можем	2	17
87	слова в	4	17
88	в своем	7	16
89	к тому	13	16
90	в которой	2	16
91	только что	4	16
92	так же	2	16
93	на то	4	16
94	и на	5	16
95	и по	3	15
96	стало быть	4	15
97	в этих	3	15
98	с одной	5	15
99	тому как	4	15
100	и тем	9	15
101	что он	7	15
102	прежде всего	7	15
103	в свою	4	15
104	уже не	11	15
105	свою очередь	2	14
106	в действительности	2	14
107	связи с	3	14
108	то в	4	14
109	так сказать	4	14
110	столь же	6	14
111	в котором	3	14
112	все же	10	14
113	во всех	2	14
114	же время	7	14
115	и все	7	13
116	зависит от	3	13
117	не следует	3	13
118	т п	2	13
119	например в	2	13
120	из них	4	13
121	и его	12	13
122	как на	2	13
123	никогда не	8	12
124	друг друга	2	12
125	одно из	2	12
126	что на	4	12
127	как мы	3	12
128	тем более	2	12
