N	3gram	Losev_Dial	Tvorches
1	в то же	3	25
2	то же время	3	24
3	и т д	38	17
4	в том что	12	11
5	о том что	6	8
6	и в то	2	7
7	не может быть	12	6
8	в самом деле	6	5
9	по крайней мере	10	4
10	с точки зрения	25	4
11	в таком случае	11	3
12	точно так же	3	3
13	это значит что	25	3
14	как и в	3	3
15	хотя и не	2	3
16	с другой стороны	3	3
17	сами по себе	3	3
18	во всяком случае	3	3
19	тем не менее	10	2
20	содержит в себе	2	2
21	не в силах	2	2
22	не значит что	2	2
23	в связи с	3	2
24	не могут быть	3	2
25	так же как	2	2
26	но это не	2	2
27	в данном случае	3	2
28	и та же	3	2
29	не потому что	2	2
30	к тому же	2	2
