N	2gram	Vygotskiy_	PoTuStor
1	может быть	33	17
2	и в	65	16
3	мы можем	12	9
4	в этом	37	9
5	и только	8	9
6	таким образом	21	9
7	прежде всего	2	9
8	и с	4	8
9	точки зрения	19	8
10	совершенно не	8	8
11	не может	17	8
12	и его	8	8
13	сказать что	14	7
14	не только	16	7
15	с его	2	7
16	и это	13	6
17	с точки	11	6
18	конечно не	6	6
19	самом деле	33	6
20	и к	5	6
21	для него	4	6
22	при этом	10	6
23	ни в	6	5
24	все эти	7	5
25	что такое	2	5
26	как бы	29	5
27	только для	3	5
28	еще не	3	5
29	в чем	3	5
30	отношение к	2	5
31	как мы	12	4
32	и на	7	4
33	все это	12	4
34	на самом	3	4
35	его в	5	4
36	в его	11	4
37	и ее	4	4
38	но и	6	4
39	и не	20	4
40	и все	14	4
41	но в	5	4
42	с самого	10	4
43	в этой	20	4
44	но мы	4	4
45	с ее	5	4
46	и наконец	2	4
47	так как	13	4
48	и их	2	4
49	все что	2	4
50	и может	5	4
51	только в	9	4
52	в нем	8	4
53	хотя бы	3	4
54	можно сказать	2	4
55	так и	3	4
56	в один	4	4
57	для всех	2	4
58	мысли и	2	4
59	самого начала	10	4
60	отнюдь не	2	4
61	и даже	4	4
62	едва ли	4	3
63	и она	4	3
64	что в	36	3
65	жизни и	6	3
66	и как	10	3
67	а в	9	3
68	в том	46	3
69	их в	4	3
70	и вот	6	3
71	в общем	4	3
72	те же	2	3
73	до сих	7	3
74	только на	3	3
75	и есть	3	3
76	во время	4	3
77	на две	3	3
78	в этих	3	3
79	в конечном	2	3
80	отношения к	3	3
81	как это	13	3
82	то что	61	3
83	только как	2	3
84	во всех	4	3
85	сих пор	6	3
86	всяком случае	6	3
87	вместе с	10	3
88	в одном	9	3
89	к себе	2	3
90	на этом	6	3
91	мы знаем	3	3
92	во всяком	6	3
93	и значение	4	3
94	том что	28	3
95	в основе	5	3
96	один из	7	2
97	никогда не	9	2
98	для нас	14	2
99	что мы	6	2
100	по своему	6	2
101	мы видим	15	2
102	в них	4	2
103	с историей	2	2
104	не можем	4	2
105	в жизни	6	2
106	и действительно	2	2
107	кажется что	2	2
108	в каком	8	2
109	к ним	3	2
110	для этого	9	2
111	же как	3	2
112	и для	4	2
113	совсем не	3	2
114	и этот	6	2
115	что не	5	2
116	нам кажется	2	2
117	все то	15	2
118	что это	19	2
119	аналогии с	2	2
120	и по	2	2
121	а на	2	2
122	что и	7	2
123	ее в	7	2
124	и мы	19	2
125	было бы	22	2
126	не могут	2	2
127	как не	3	2
128	и других	5	2
129	чувства и	3	2
130	о том	17	2
131	можно назвать	2	2
132	то же	17	2
133	они не	2	2
134	с этим	11	2
135	как и	12	2
136	что он	23	2
137	так же	12	2
138	говорить о	3	2
139	того же	4	2
140	в своей	6	2
141	мы не	7	2
142	это делает	2	2
143	из этих	6	2
144	но как	3	2
145	в самом	41	2
146	знаем что	4	2
147	с этой	5	2
148	по аналогии	2	2
149	в частности	3	2
150	и вся	2	2
151	он не	11	2
152	у него	6	2
153	своей жизни	2	2
154	во всей	3	2
155	если мы	19	2
156	со всеми	2	2
157	как с	2	2
158	и о	6	2
159	к этому	5	2
160	что на	4	2
161	можем сказать	2	2
162	что оно	5	2
163	и так	4	2
164	есть в	3	2
165	почти не	2	2
166	мы уже	12	2
167	только то	3	2
168	не будет	2	2
169	с ним	6	2
170	между собой	2	2
171	но это	6	2
