N	2gram	Tiupa_Narr	Freidism
1	и не	34	34
2	таким образом	5	34
3	точки зрения	8	31
4	не может	16	30
5	может быть	24	28
6	и в	22	28
7	в этом	23	28
8	прежде всего	7	26
9	в его	12	25
10	и его	12	22
11	мы можем	2	20
12	с помощью	2	20
13	как бы	11	19
14	как мы	3	18
15	то что	14	17
16	вовсе не	2	16
17	точка зрения	5	15
18	с точки	2	15
19	все эти	3	15
20	самом деле	4	14
21	так и	12	14
22	в своей	8	14
23	с ним	6	14
24	во всех	2	13
25	и все	7	13
26	в душе	3	13
27	но в	10	13
28	как и	15	13
29	по отношению	5	13
30	точку зрения	3	12
31	и потому	2	12
32	том что	15	12
33	то же	12	12
34	что он	7	12
35	в самом	8	12
36	и наконец	2	12
37	для него	8	12
38	сказать что	5	11
39	отношению к	5	11
40	только в	23	11
41	никогда не	8	10
42	и с	3	10
43	не только	50	10
44	но и	39	10
45	не в	12	10
46	он не	8	10
47	в том	20	10
48	все что	4	10
49	один из	8	10
50	к этому	2	9
51	к нему	5	9
52	в чем	3	9
53	уже не	11	9
54	и на	5	9
55	мы не	5	9
56	а не	27	9
57	во всяком	2	9
58	с его	6	9
59	все же	10	8
60	было бы	2	8
61	по мнению	2	8
62	и вот	2	8
63	еще не	6	8
64	а в	19	8
65	в ней	5	8
66	всяком случае	2	8
67	при этом	31	8
68	так сказать	4	7
69	до конца	2	7
70	в жизни	9	7
71	в то	9	7
72	в себе	14	7
73	что в	6	7
74	и ее	3	7
75	хотя бы	4	7
76	и для	4	7
77	отношение к	2	7
78	быть и	3	7
79	роль в	4	7
80	не является	7	7
81	того что	7	7
82	на протяжении	12	7
83	и у	4	7
84	его жизни	5	7
85	но не	7	7
86	об этом	8	7
87	в нем	9	7
88	и к	7	7
89	из них	4	7
90	жизни и	7	7
91	в этой	8	7
92	одно из	2	6
93	мы имеем	6	6
94	из этих	6	6
95	в человеке	2	6
96	сознания и	2	6
97	не менее	6	6
98	для того	4	6
99	в таком	4	6
100	и только	2	6
101	и о	4	6
102	в пределах	2	6
103	она не	2	6
104	к тому	13	6
105	не можем	2	6
106	можно сказать	11	6
107	ни о	3	6
108	в свою	4	6
109	зрения на	2	6
110	как раз	9	6
111	же время	7	6
112	во время	2	6
113	по поводу	3	5
114	что это	4	5
115	ничего не	8	5
116	со стороны	14	5
117	что она	3	5
118	в которой	2	5
119	и по	3	5
120	во второй	2	5
121	со всеми	3	5
122	между ними	3	5
123	в этих	3	5
124	как это	7	5
125	что может	2	5
126	не знает	2	5
127	внутренней речи	3	5
128	что и	3	5
129	тому что	4	5
130	далеко не	6	5
131	в своих	2	5
132	это не	6	5
133	той же	2	5
134	в процессе	2	5
135	отнюдь не	6	5
136	в следующей	3	5
137	того чтобы	7	5
138	не было	3	5
139	в ее	4	5
140	с ними	5	5
141	он сам	4	5
142	в себя	3	5
143	вместе с	3	5
144	данном случае	12	4
145	человека в	2	4
