N	2gram	Tiupa_Teor	VerxiiNi
1	и в	24	26
2	таким образом	3	22
3	в этом	12	15
4	вместе с	2	15
5	точки зрения	11	13
6	как бы	8	12
7	в том	20	11
8	не только	24	10
9	из этих	3	10
10	может быть	22	10
11	что в	10	9
12	в области	7	9
13	связи с	3	9
14	но и	14	9
15	но не	13	8
16	с другой	9	8
17	и не	17	8
18	к нему	2	7
19	потому что	3	7
20	одной стороны	3	7
21	то что	6	7
22	с одной	3	7
23	но в	12	7
24	том что	11	7
25	а с	3	7
26	в отношении	4	6
27	к тому	4	6
28	о том	2	6
29	того же	4	6
30	в себе	14	6
31	в конце	2	6
32	несмотря на	2	6
33	что и	2	6
34	с точки	3	6
35	и т.д	4	6
36	все эти	3	6
37	все это	2	6
38	и потому	3	6
39	так и	14	6
40	никогда не	4	5
41	в мире	26	5
42	одной из	2	5
43	и для	3	5
44	более или	6	5
45	так же	2	5
46	том числе	3	5
47	и к	3	5
48	в силу	4	5
49	отношение к	7	5
50	к жизни	2	5
51	того чтобы	5	5
52	лишь в	10	5
53	в его	12	5
54	для того	5	5
55	а не	14	5
56	или менее	6	5
57	далеко не	4	4
58	а в	15	4
59	с другими	6	4
60	в самом	7	4
61	в нем	7	4
62	не может	8	4
63	то есть	22	4
64	из которых	2	4
65	то же	12	4
66	числе и	2	4
67	и что	4	4
68	и по	3	4
69	в этих	4	4
70	только в	9	4
71	что он	4	4
72	он не	5	4
73	в этой	3	4
74	в то	9	4
75	в рамках	13	3
76	духовной культуры	2	3
77	в своем	7	3
78	так или	5	3
79	если в	2	3
80	не вполне	2	3
81	каждая из	2	3
82	или иначе	6	3
83	уже не	6	3
84	в которой	3	3
85	в значительной	2	3
86	тем не	3	3
87	представляет собой	13	3
88	и даже	2	3
89	и как	3	3
90	из которого	3	3
91	если бы	3	3
92	при этом	20	3
93	не менее	6	3
94	в качестве	33	3
95	с этой	3	3
96	в связи	3	3
97	и другие	2	3
98	в таком	3	3
99	случае не	2	3
100	и о	5	3
101	можно сказать	5	3
102	отношению к	10	3
103	в одном	3	3
104	того что	5	3
105	для него	5	3
106	по своему	4	2
107	сказать что	4	2
108	этой точки	2	2
109	и является	2	2
110	и это	2	2
111	или иной	7	2
112	не могут	2	2
113	а также	7	2
114	в самой	2	2
115	для всех	2	2
116	состоит в	22	2
117	мы имеем	7	2
118	есть как	2	2
119	между тем	5	2
120	одним из	3	2
121	к его	3	2
122	в свою	4	2
123	именно в	3	2
124	отличается от	2	2
125	приводит к	6	2
126	в них	2	2
127	только не	3	2
128	и особенно	2	2
129	и на	2	2
130	и здесь	2	2
131	еще не	6	2
132	к которому	3	2
133	по своей	8	2
134	либо в	2	2
135	и больше	2	2
136	превращается в	2	2
137	не в	9	2
138	не всегда	2	2
139	то ни	2	2
140	ни было	2	2
141	той или	3	2
142	в одно	2	2
143	же время	8	2
144	никем не	2	2
145	один из	2	2
146	в виду	5	2
147	совершенно иной	2	2
148	без остатка	3	2
149	прежде всего	3	2
150	бы то	2	2
151	не могло	2	2
152	с его	6	2
153	во всех	3	2
154	вслед за	3	2
155	быть и	2	2
156	не с	3	2
