N	2gram	Kanaev_Sov	VelikijI
1	и не	6	20
2	и в	7	16
3	так как	4	9
4	еще не	3	8
5	и потому	3	7
6	а не	3	7
7	как бы	4	5
8	все это	3	5
9	что все	2	4
10	и все	3	4
11	как и	6	4
12	в нем	3	4
13	в его	2	4
14	говорить о	2	4
15	в этом	7	4
16	и есть	2	4
17	что в	2	3
18	в том	4	3
19	но в	3	3
20	их в	4	3
21	и будет	2	3
22	к чему	2	3
23	в конце	3	3
24	жизни и	4	3
25	и мы	3	3
26	и что	2	3
27	не в	3	3
28	все эти	5	3
29	и они	2	3
30	тот же	2	3
31	одна из	3	2
32	нет и	4	2
33	это не	4	2
34	не только	4	2
35	не могут	2	2
36	а в	4	2
37	но мы	3	2
38	и во	2	2
39	во всяком	2	2
40	уже не	2	2
41	могут быть	2	2
42	мы не	9	2
43	для нас	3	2
44	прежде всего	5	2
