N	2gram	Ircho_Kome	DiskursI
1	в качестве	4	72
2	а не	5	60
3	может быть	14	56
4	не только	13	49
5	и в	37	49
6	как и	10	47
7	при этом	11	46
8	в том	24	44
9	и не	28	44
10	представляет собой	5	41
11	том что	22	40
12	в этом	18	38
13	в себе	4	37
14	состоит в	2	37
15	в частности	4	36
16	но и	18	35
17	но не	9	31
18	со стороны	16	28
19	так и	4	28
20	отличие от	5	28
21	но в	7	28
22	не может	9	27
23	в отличие	3	27
24	по своей	2	26
25	как в	4	25
26	такого рода	2	24
27	еще не	10	23
28	отнюдь не	5	23
29	а также	3	20
30	все же	9	19
31	прежде всего	7	19
32	в нем	8	19
33	в своей	6	19
34	в основе	3	18
35	далеко не	3	18
36	по отношению	6	17
37	то же	14	17
38	с другой	5	17
39	отношению к	4	17
40	в мире	2	17
41	точки зрения	8	16
42	только в	3	16
43	роль в	3	15
44	в его	12	15
45	то что	5	15
46	о том	21	15
47	это не	3	14
48	не в	7	14
49	не менее	9	14
50	одной стороны	4	14
51	не является	5	14
52	с одной	5	14
53	в целом	4	13
54	как бы	7	13
55	в своем	9	12
56	и все	6	12
57	того же	9	12
58	при всей	2	12
59	в своих	4	12
60	и на	6	12
61	что в	11	11
62	с его	6	11
63	и как	3	11
64	столь же	5	11
65	не было	6	11
66	а в	12	10
67	а с	2	10
68	не столько	3	10
69	же время	12	10
70	в то	14	9
71	в силу	2	9
72	между тем	6	9
73	в них	6	9
74	себя в	3	9
75	человека в	4	8
76	этом отношении	2	8
77	и о	3	8
78	к тому	11	8
79	потому что	19	8
80	не на	3	8
81	хотя и	6	8
82	если в	4	8
83	и даже	6	8
84	в этих	2	8
85	не с	2	8
86	в котором	6	8
87	в одном	3	8
88	из них	11	8
89	он не	11	8
90	не следует	2	8
91	его в	9	7
92	о чем	11	7
93	могут быть	3	7
94	и ее	3	7
95	приводит к	4	7
96	одной из	4	7
97	и для	7	7
98	на сцене	7	7
99	что и	12	7
100	например в	3	7
101	в этой	7	7
102	другой стороны	2	7
103	к этому	11	7
104	в пределах	3	7
105	ни в	14	7
106	той же	2	7
107	и его	10	7
108	таким образом	16	7
109	нового времени	5	7
110	тому же	11	7
111	основе своей	2	7
112	никогда не	5	6
113	к его	4	6
114	в одной	2	6
115	не как	2	6
116	отношение к	7	6
117	что он	15	6
118	не знает	7	6
119	одно из	3	6
120	времени в	2	6
121	одного из	4	6
122	однако в	5	6
123	что же	2	6
124	здесь не	2	6
125	и может	2	6
126	в сущности	3	6
127	в истории	2	6
128	в ее	3	6
129	в эпоху	2	6
130	во всех	4	6
131	конечном счете	3	6
132	времени и	2	6
133	в конечном	2	6
134	в которых	7	6
135	с точки	6	6
136	в античной	3	5
137	в первую	2	5
138	ничего не	6	5
139	к себе	9	5
140	в другом	2	5
141	в виду	3	5
142	в их	5	5
143	не всегда	2	5
144	свою очередь	10	5
145	и потому	2	5
146	к ним	5	5
147	стороны и	4	5
148	во втором	2	5
149	к своим	2	5
150	несмотря на	7	5
151	один из	6	5
152	исходя из	2	5
153	здесь в	2	5
154	мой взгляд	2	5
155	представляют собой	3	5
156	было в	2	5
157	первую очередь	2	5
158	того как	5	5
159	как будто	3	5
160	сказать что	4	5
161	но при	2	5
162	из этих	2	5
163	за пределы	3	5
164	на мой	2	5
165	во второй	2	5
166	я и	2	5
167	из двух	3	5
168	себе не	2	5
169	что касается	5	5
170	известной степени	2	5
171	в свою	12	5
172	может служить	2	5
173	на этом	3	5
174	в той	2	5
175	как раз	9	5
176	перед ним	4	5
177	говорить о	6	5
178	же самое	3	5
179	в ней	7	5
180	тем что	12	5
181	не о	3	4
182	до конца	4	4
183	не могут	2	4
184	из того	3	4
185	который по	2	4
186	а на	3	4
187	более чем	6	4
188	и тем	4	4
189	из жизни	2	4
190	в свое	2	4
191	по своему	3	4
192	как это	5	4
193	и это	4	4
194	его на	5	4
195	на его	5	4
196	что не	5	4
197	аналогии с	2	4
198	между двумя	2	4
199	и до	2	4
200	и во	3	4
201	что они	3	4
202	в первом	2	4
203	для обозначения	2	4
204	во всяком	3	4
205	мы имеем	4	4
206	это в	2	4
207	хотя в	3	4
208	в результате	2	4
209	этом случае	2	4
210	тем не	3	4
211	я не	4	4
212	связи с	5	4
213	а сам	2	4
214	одним из	2	4
215	в какой	4	4
216	в самом	17	4
217	и к	4	4
218	а по	5	4
219	к другому	2	4
220	говорит о	2	4
221	на примере	2	4
222	и есть	3	4
223	с ним	10	4
224	вопрос о	2	3
225	для человека	2	3
226	идет о	3	3
227	в тех	4	3
228	текста не	2	3
229	вплоть до	2	3
230	в обоих	2	3
231	ли не	6	3
232	пьесы в	2	3
233	в области	3	3
234	на основании	3	3
235	в каждой	2	3
236	а его	2	3
237	что ни	7	3
238	она не	3	3
239	они не	2	3
240	он говорит	3	3
241	более или	2	3
242	об этом	12	3
243	уже о	2	3
244	на себя	10	3
245	не говоря	2	3
246	котором он	2	3
247	между собой	5	3
248	и он	5	3
249	живет в	2	3
250	ней в	2	3
251	еще одно	2	3
252	для этого	3	3
253	о его	4	3
254	числе и	2	3
255	о ней	2	3
256	было бы	7	3
257	мы не	6	3
258	говоря уже	2	3
259	дело не	2	3
260	должна быть	2	3
261	том числе	2	3
262	как мы	6	3
263	да и	3	3
264	и от	3	3
265	не будучи	2	3
266	тут же	8	3
267	с этим	5	3
268	в сцене	2	3
269	в начале	5	3
270	хотя бы	5	3
271	в которой	6	3
272	к ней	9	3
273	а о	2	3
274	и по	3	3
275	как не	2	3
276	принадлежат к	2	3
277	в греческой	2	3
278	чем не	2	3
279	перед лицом	2	3
280	при всем	5	3
281	дело с	4	3
282	или менее	2	3
283	но все	5	3
284	отношения к	2	3
285	не имеет	6	3
286	действия в	3	3
287	не случайно	3	3
288	их в	3	3
289	когда он	5	3
290	сюжетной ситуации	2	3
291	уже в	3	3
292	ближе к	3	3
293	всяком случае	3	3
294	к числу	2	3
295	то ни	4	3
296	на рубеже	2	3
297	и сам	11	3
298	и что	8	3
299	и без	2	3
300	тем же	3	3
301	вместе с	16	3
302	с первых	3	2
303	ему не	4	2
304	я на	2	2
305	в отношении	4	2
306	чтобы не	3	2
307	не делает	2	2
308	трагедии и	2	2
309	как можно	2	2
310	всего лишь	2	2
311	в построении	4	2
312	остается в	3	2
313	они были	2	2
314	в каждом	3	2
315	должно было	3	2
316	является его	2	2
317	как к	3	2
318	едва ли	16	2
319	друг друга	7	2
320	кто из	4	2
321	строится на	2	2
322	из уст	2	2
323	от своего	2	2
324	к мысли	2	2
325	ни одно	3	2
326	к своему	4	2
327	самом деле	13	2
328	в чем	7	2
329	его не	3	2
330	которого и	2	2
331	по существу	4	2
332	для понимания	3	2
333	действующих лиц	7	2
334	о любви	3	2
335	это обстоятельство	3	2
336	от ее	3	2
337	не приходится	5	2
338	к нему	8	2
339	с самого	5	2
340	в г	3	2
341	в голову	2	2
342	же автора	2	2
343	ответ на	7	2
344	на ее	4	2
345	же не	3	2
346	речь идет	5	2
347	самого начала	5	2
348	что с	4	2
349	себя и	2	2
350	обстоит дело	3	2
351	все это	7	2
352	который в	3	2
353	в честь	2	2
354	требует от	4	2
355	вовсе не	6	2
356	бы то	3	2
357	совпадают с	4	2
358	представление о	2	2
359	хоть и	3	2
360	до нас	7	2
361	тех же	3	2
362	том чтобы	4	2
363	в город	2	2
364	с другими	2	2
365	х годов	2	2
366	тем более	9	2
367	в первой	3	2
368	ответственность за	2	2
369	что она	10	2
370	этот человек	2	2
371	к концу	3	2
372	мы можем	7	2
373	на него	6	2
374	за ним	3	2
375	целый ряд	5	2
376	если бы	18	2
377	не позволяет	4	2
378	это делает	2	2
379	ни было	3	2
380	для того	9	2
381	с этой	5	2
382	как его	4	2
383	такой же	2	2
384	отказаться от	3	2
385	не по	7	2
386	на фоне	2	2
387	не был	2	2
388	на этот	6	2
389	у него	10	2
390	человека с	2	2
391	на то	3	2
392	еще более	4	2
393	в и	3	2
394	под названием	3	2
395	аналогичным образом	2	2
396	видеть в	2	2
397	отношения между	2	2
398	и с	5	2
399	из которых	7	2
400	со своей	2	2
401	к их	2	2
402	и теперь	2	2
403	в случае	2	2
404	то ли	4	2
405	не знаю	2	2
406	впрочем не	2	2
407	по его	2	2
408	во всем	2	2
409	к лицу	2	2
410	этих двух	2	2
411	а как	2	2
412	с помощью	4	2
