N	3gram	Vygotskiy_	slovoVRo
1	и т п	5	72
2	не может быть	4	19
3	той или иной	2	15
4	с точки зрения	5	15
5	в отличие от	3	14
6	с одной стороны	15	11
7	и т д	6	10
8	в этом случае	2	9
9	в зависимости от	7	8
10	с другой стороны	8	6
11	в том что	30	5
12	в этом отношении	3	5
13	не только в	5	5
14	может быть и	2	5
15	по отношению к	2	5
16	до конца и	2	5
17	в лучшем случае	3	4
18	на первый план	2	4
19	для того чтобы	41	4
20	друг с другом	6	4
21	таким образом в	2	4
22	до сих пор	9	4
23	можно сказать что	3	4
24	одно и то	3	3
25	к тому что	8	3
26	и то же	4	3
27	в собственном смысле	2	3
28	в данном случае	3	3
29	сама по себе	3	3
30	и в частности	2	2
31	не только не	4	2
32	мы не можем	2	2
33	во всех этих	2	2
34	вовсе не в	2	2
35	о том что	15	2
36	иметь в виду	3	2
37	в двух планах	4	2
38	можно было бы	4	2
39	обстоит дело и	2	2
40	в то время	4	2
41	с самого начала	5	2
42	и в том	2	2
43	в том и	3	2
44	не для того	4	2
45	тот факт что	6	2
46	этой точки зрения	3	2
47	то время как	4	2
48	и в этом	2	2
49	с этой точки	3	2
50	имеет дело с	2	2
51	о которых мы	2	2
