N	3gram	Propp_Russ	Psycholo
1	в том что	27	78
2	для того чтобы	6	70
3	на то что	2	55
4	о том что	6	34
5	с точки зрения	3	29
6	и т д	12	22
7	к тому что	4	20
8	в том чтобы	2	20
9	так же как	5	14
10	в то время	3	14
11	можно было бы	2	13
12	и в этом	2	13
13	что в этом	2	12
14	подобно тому как	3	11
15	вместе с тем	10	10
16	потому что он	2	9
17	в данном случае	7	9
18	в отличие от	4	9
19	по этому поводу	3	8
20	состоит в том	16	7
21	так как это	2	7
22	в свою очередь	2	7
23	совершенно очевидно что	2	7
24	тем не менее	3	6
25	не что иное	3	6
26	и в том	2	6
27	что иное как	3	6
28	мы не можем	5	6
29	друг к другу	2	6
30	же как и	3	5
31	не значит что	2	4
32	мы должны будем	2	4
33	в настоящее время	3	4
34	это имеет место	3	4
35	том что в	7	4
36	только тогда когда	3	4
37	так как они	2	4
38	после того как	3	3
39	может быть и	3	3
40	к выводу что	3	3
41	в это время	3	3
42	так как в	2	3
43	в этом случае	9	3
44	с тем и	3	3
45	привело к тому	2	3
46	иметь в виду	2	3
47	бросается в глаза	3	3
48	ни одна из	2	3
49	том что это	2	2
50	но вместе с	3	2
51	ни одно из	2	2
52	все же не	2	2
53	в тех случаях	2	2
54	еще далеко не	2	2
55	мы увидим ниже	2	2
56	здесь мы имеем	2	2
57	в связи с	4	2
58	во многих случаях	4	2
59	мы уже знаем	2	2
60	но и на	2	2
61	как мы увидим	5	2
62	как и другие	4	2
63	не только у	2	2
64	решить вопрос о	2	2
65	одно из этих	2	2
66	в таком виде	2	2
