N	3gram	Tiupa_Narr	Vvedenie
1	в том что	8	15
2	о том что	6	13
3	не может быть	5	10
4	тем не менее	3	9
5	в то же	3	6
6	то же время	3	6
7	не что иное	2	5
8	что иное как	2	5
9	с другой стороны	4	5
10	не только в	2	4
11	в данном случае	4	4
12	так или иначе	2	4
13	в этом отношении	3	4
14	но все же	4	4
15	с одной стороны	7	4
16	по отношению к	6	4
17	в отличие от	5	4
18	с точки зрения	2	4
19	можно было бы	2	4
20	в известном смысле	2	3
21	той или иной	4	3
22	можно сказать что	4	3
23	том или ином	2	2
24	состоит в том	3	2
25	в том или	2	2
26	подобно тому как	2	2
27	в первом случае	2	2
28	этой точки зрения	2	2
29	точно так же	2	2
30	в связи с	2	2
31	в свою очередь	3	2
