N	3gram	Savitsky_E	slovoVRo
1	не может быть	2	19
2	в то же	15	18
3	то же время	14	18
4	той или иной	4	15
5	с точки зрения	16	15
6	в той или	3	13
7	в отношении к	12	12
8	в большинстве случаев	2	11
9	с одной стороны	8	11
10	во всяком случае	3	8
11	но в то	2	7
12	так и в	2	6
13	с другой стороны	2	6
14	и в то	8	6
15	в том что	6	5
16	в этом отношении	3	5
17	не только в	4	5
18	хотя бы и	3	5
19	одной стороны и	6	4
20	для того чтобы	5	4
21	друг с другом	3	4
22	можно сказать что	3	4
23	в известной степени	3	4
24	в свою очередь	2	4
25	как мы видели	2	3
26	в данном случае	2	3
27	того или иного	4	3
28	и в частности	2	2
29	же как и	3	2
30	можно было бы	3	2
31	в известном смысле	3	2
32	как бы ни	3	2
33	рано или поздно	2	2
34	этой точки зрения	5	2
35	и в этом	4	2
36	с этой точки	5	2
