N	3gram	Trubetskoy	Problemy
1	то же время	2	26
2	в то же	2	26
3	с точки зрения	6	25
4	в конце концов	3	11
5	до сих пор	5	10
6	с самого начала	2	9
7	во всяком случае	6	9
8	друг с другом	5	8
9	в том что	3	8
10	бы то ни	2	7
11	и в этом	2	7
12	то ни было	2	6
13	по крайней мере	5	5
14	той или иной	2	5
15	к тому же	4	5
16	но все же	4	5
17	тем не менее	3	4
18	более или менее	5	4
19	может быть и	2	4
20	о том что	4	4
21	в этом отношении	2	4
22	может быть даже	2	4
23	друг на друга	2	4
24	на то что	2	3
25	можно сказать что	2	3
26	то же самое	2	2
27	этой точки зрения	2	2
28	то что он	2	2
29	но все это	2	2
30	всяком случае не	3	2
31	а так как	3	2
32	между этими двумя	2	2
33	вместе с тем	8	2
34	для того чтобы	5	2
