N	3gram	Bakhtin_KF	formyVre
1	то же время	2	21
2	в то же	2	18
3	с точки зрения	10	15
4	не может быть	11	7
5	во всех этих	2	6
6	и в этом	3	6
7	имеем в виду	2	6
8	в том что	2	5
9	той или иной	2	5
10	включает в себя	2	4
11	по отношению к	22	4
12	в его целом	10	4
13	а не в	2	3
14	в чем не	4	3
15	ни в чем	4	3
16	но все эти	3	3
17	бы он ни	2	3
18	может быть только	7	3
19	он ни был	2	3
20	и та же	2	2
21	пространственные и временные	2	2
22	не было бы	3	2
23	во всех своих	3	2
24	в соответствии с	2	2
25	одна и та	2	2
26	во всей его	2	2
27	в ее целом	3	2
