N	2gram	Berdyaev_M	Otkroven
1	о человеке	24	29
2	у него	38	22
3	человеческой природы	27	20
4	у достоевского	75	19
5	и в	61	19
6	но и	34	13
7	и не	26	13
8	в этом	34	12
9	не только	42	11
10	человека в	26	11
11	не в	16	11
12	из подполья	11	11
13	а не	36	11
14	может быть	42	11
15	и все	13	10
16	человека и	19	10
17	в нем	26	10
18	вопрос о	7	10
19	никогда не	30	9
20	к человеку	21	9
21	в самой	8	9
22	потому что	25	9
23	в человеке	10	9
24	не было	25	9
25	прежде всего	18	9
26	великий инквизитор	2	8
27	и он	21	8
28	он был	18	8
29	ивана карамазова	10	7
30	человек не	17	7
31	ни с	4	7
32	лишь в	8	7
33	в его	10	7
34	достоевского он	8	7
35	до конца	16	7
36	нет ничего	9	7
37	от него	4	7
38	он не	34	7
39	в глубине	10	7
40	но он	17	7
41	как и	14	6
42	о великом	6	6
43	человеческой личности	11	6
44	великом инквизиторе	7	6
45	все это	6	6
46	записок из	5	5
47	для него	28	5
48	для достоевского	11	5
49	а в	4	5
50	в россии	2	5
51	в том	9	5
52	человеку и	5	5
53	раскрывается в	6	5
54	все герои	3	5
55	в творчестве	13	5
56	достоевского и	12	5
57	в самом	15	5
58	русского человека	3	5
59	то что	10	5
60	в этой	12	5
61	достоевский раскрывает	5	5
62	нужно искать	2	5
63	человеке в	2	5
64	человеке и	8	5
65	отношение к	9	5
66	и его	13	4
67	достоевский не	9	4
68	что в	12	4
69	он сам	11	4
70	в романах	2	4
71	только и	7	4
72	русский человек	2	4
73	есть лишь	23	4
74	человеческой природе	3	4
75	того чтобы	4	4
76	достоевского не	7	4
77	в идиоте	3	4
78	через человека	2	4
79	все эти	3	4
80	на земле	7	4
81	него и	3	4
82	герои достоевского	6	4
83	т е	5	4
84	курсив мой	4	4
85	человек и	7	4
86	о бессмертии	3	4
87	в самую	5	4
88	не может	39	4
89	дважды два	5	4
90	в преступлении	3	4
91	о боге	7	4
92	о человеческой	3	4
93	все в	7	4
94	что не	3	4
95	в легенде	4	4
96	достоевский раскрыл	2	4
97	человеке о	2	4
98	достоевского все	5	4
99	русского духа	2	4
100	достоевского есть	25	4
101	с его	6	4
102	глубине человека	3	3
103	до самой	5	3
104	в себе	12	3
105	со злом	3	3
106	и от	3	3
107	о том	5	3
108	загадка о	4	3
109	романах достоевского	2	3
110	человека его	5	3
111	творчестве его	4	3
112	это не	10	3
113	самой глубине	4	3
114	к нему	8	3
115	не могут	6	3
116	что он	16	3
117	самого достоевского	2	3
118	свободной любви	4	3
119	записках из	2	3
120	и вот	7	3
121	человеку надо	3	3
122	достоевский был	13	3
123	было бы	11	3
124	достоевского в	10	3
125	раскольникова ставрогина	3	3
126	достоевского было	4	3
127	легенде о	2	3
128	различие между	2	3
129	для того	4	3
130	во имя	26	3
131	и есть	21	3
132	все что	5	3
133	в этих	6	3
134	в своих	4	3
135	к гибели	5	3
136	в русской	4	3
137	в свободе	7	3
138	когда он	3	3
139	и ее	2	3
140	в записках	2	3
141	в бесах	8	3
142	только одно	3	3
143	никто не	3	3
144	как бы	10	3
145	хотя бы	8	3
146	могут быть	2	3
147	самой глубины	6	3
148	с ним	5	3
149	быть может	9	3
150	мысли и	2	3
151	человеческого духа	31	3
152	того что	13	3
153	влечет к	6	3
154	что человек	5	3
155	два четыре	4	3
156	он лишь	4	3
157	достоевский открывает	5	2
158	как к	2	2
159	что ведь	2	2
160	так человек	2	2
161	и хаос	2	2
162	одно из	3	2
163	и то	2	2
164	достоевского к	8	2
165	сказать что	5	2
166	можно ли	2	2
167	кажется и	2	2
168	и на	9	2
169	этом он	4	2
170	что достоевский	4	2
171	с тем	10	2
172	героев достоевского	2	2
173	уже в	6	2
174	в глубину	5	2
175	что же	2	2
176	достоевский весь	2	2
177	достоевского с	3	2
178	мысль о	2	2
179	творчество достоевского	16	2
180	и для	7	2
181	себе даже	2	2
182	совсем не	3	2
183	у кого	2	2
184	и там	10	2
185	что все	5	2
186	человека к	10	2
187	с разных	2	2
188	и много	2	2
189	ничего кроме	2	2
190	не имеет	7	2
191	что человеку	2	2
192	природы он	2	2
193	зла в	4	2
194	ничего не	4	2
195	дневнике писателя	4	2
196	он весь	8	2
197	и с	6	2
198	любовь к	10	2
199	что и	6	2
200	и никогда	4	2
201	этого мира	3	2
202	антихристово начало	3	2
203	достоевский открыл	2	2
204	в дневнике	4	2
205	образ человека	8	2
206	достоевский прежде	2	2
207	и потому	17	2
208	в ее	3	2
209	в своем	17	2
210	было для	3	2
211	и этим	2	2
212	к человекобожеству	2	2
