N	2gram	Propp_Isto	FransuaR
1	и в	44	367
2	в этом	20	112
3	и не	19	101
4	таким образом	21	100
5	и его	15	99
6	в его	16	98
7	прежде всего	7	92
8	не только	17	87
9	мы уже	6	85
10	но и	16	84
11	как бы	4	82
12	все эти	11	79
13	вовсе не	6	77
14	как и	12	76
15	в нем	10	75
16	но в	7	75
17	и др	6	72
18	и на	11	72
19	в том	13	71
20	как мы	9	71
21	то же	9	66
22	и все	4	66
23	так и	9	65
24	в этой	5	65
25	в них	3	65
26	и с	8	64
27	во время	12	63
28	в то	5	63
29	все это	4	62
30	во всех	3	62
31	что в	18	52
32	в своем	3	51
33	только в	8	48
34	так как	19	46
35	том что	12	45
36	то что	16	41
37	жизни и	4	40
38	у него	7	40
39	точки зрения	3	37
40	в ней	8	37
41	с его	3	36
42	может быть	31	35
43	мы видим	12	35
44	он был	2	35
45	о том	11	35
46	сказать что	2	34
47	и даже	4	34
48	он не	5	32
49	мы видели	9	32
50	для него	2	32
51	в своей	3	31
52	связаны с	3	31
53	так же	14	30
54	тела и	2	30
55	никогда не	5	30
56	и потому	2	30
57	той же	2	30
58	один из	6	30
59	потому что	18	30
60	но он	2	30
61	в этих	7	29
62	не может	10	29
63	еще не	16	29
64	его в	17	29
65	не в	11	29
66	при этом	4	29
67	в одном	2	29
68	в особенности	6	29
69	связи с	10	29
70	что он	29	29
71	из них	4	28
72	в основе	3	28
73	всех этих	2	28
74	также и	2	28
75	здесь и	2	28
76	и к	3	28
77	роль в	3	27
78	сих пор	7	27
79	и другие	5	27
80	до сих	7	27
81	том числе	3	27
82	все же	17	27
83	в преисподнюю	4	26
84	но это	10	25
85	мира и	2	25
86	отношение к	3	24
87	того чтобы	3	24
88	в ее	4	24
89	в частности	9	24
90	например в	11	24
91	но не	8	24
92	как в	11	24
93	и у	3	24
94	и для	3	23
95	это не	8	23
96	с ним	9	23
97	еще и	2	23
98	и здесь	12	23
99	есть и	3	23
100	к нему	5	23
101	и о	2	22
102	связь с	20	22
103	даже в	4	22
104	а в	9	22
105	что и	11	22
106	там где	11	22
107	и других	5	22
108	тем что	12	22
109	вместе с	26	22
110	не было	2	22
111	в своих	4	21
112	в себя	3	21
113	в качестве	13	21
114	что это	8	21
115	и наконец	2	21
116	ни в	2	21
117	одним из	4	21
118	есть в	2	21
119	и как	5	21
120	уже в	4	21
121	в образе	16	20
122	а также	5	20
123	одной из	3	20
124	они были	2	20
125	самом деле	2	20
126	и это	5	20
127	в связи	6	20
128	в форме	5	19
129	того же	3	19
130	в дальнейшем	6	19
131	их в	7	19
132	во всем	4	19
133	к этому	5	19
134	было бы	2	19
135	с другой	11	19
136	связанные с	5	18
137	на этом	5	18
138	здесь не	3	18
139	превращается в	10	18
140	это и	3	18
141	перед нами	2	18
142	одна из	6	18
143	связан с	7	18
144	числе и	2	17
145	для того	3	17
146	но все	8	17
147	того что	3	17
148	и вот	4	17
149	такой же	3	17
150	а не	5	17
151	ничего не	4	16
152	в свете	5	16
153	между ними	2	16
154	в другом	2	16
155	они не	5	16
156	с одной	7	16
157	одно из	3	15
158	в истории	7	15
159	никто не	4	15
160	и вообще	3	15
161	мы еще	2	15
162	еще в	2	15
163	особенно в	2	15
164	как на	3	15
165	а затем	7	15
166	в которой	4	15
167	не мог	3	15
168	характерно что	2	15
169	из этих	5	15
170	мы не	6	14
171	все что	5	14
172	по существу	2	14
173	в данном	3	14
174	и он	9	14
175	с миром	2	14
176	в более	6	14
177	несмотря на	3	14
178	и по	3	14
179	в котором	2	14
180	образом в	3	14
181	на них	2	14
182	так в	5	13
183	как он	6	13
184	что все	4	13
185	на этой	5	13
186	это было	2	13
187	в других	4	13
