N	2gram	Losev_Vesc	Dialekti
1	не есть	79	181
2	т е	79	159
3	и не	57	120
4	это –	38	95
5	и т	37	82
6	по себе	22	79
7	а не	34	78
8	и в	44	77
9	т д	36	75
10	точки зрения	10	72
11	может быть	37	71
12	не только	48	66
13	значит что	32	61
14	то что	47	59
15	и есть	40	55
16	ничего не	12	54
17	это значит	30	54
18	не может	44	53
19	и даже	12	47
20	так как	17	46
21	с точки	6	46
22	есть нечто	12	46
23	что это	18	46
24	потому что	25	45
25	стало быть	3	44
26	не просто	23	44
27	как бы	19	43
28	ни в	11	42
29	и что	22	42
30	не имеет	2	41
31	вовсе не	11	41
32	в том	15	40
33	что такое	20	39
34	в этом	17	39
35	то же	12	39
36	в себе	23	38
37	это есть	8	38
38	что она	23	38
39	том что	13	37
40	что он	7	37
41	прежде всего	17	37
42	это не	9	36
43	так что	9	36
44	она есть	12	35
45	– в	13	35
46	и –	16	35
47	что в	11	34
48	в нем	6	34
49	и все	6	33
50	– не	11	33
51	того что	16	33
52	но и	19	32
53	все это	7	31
54	ясно что	10	31
55	и как	12	30
56	отнюдь не	8	30
57	сказать что	21	30
58	так и	4	29
59	было бы	24	29
60	как и	15	28
61	никогда не	5	27
62	крайней мере	10	26
63	по крайней	10	26
64	в виду	2	26
65	не в	14	26
66	есть и	13	26
67	сама по	7	26
68	– это	4	26
69	есть только	18	25
70	есть не	17	25
71	и то	14	25
72	и пр	10	25
73	говорить о	9	25
74	учение о	2	25
75	если бы	8	24
76	есть ни	12	24
77	но это	14	24
78	есть всегда	5	24
79	и вот	4	23
80	в то	11	23
81	это и	12	23
82	что оно	10	23
83	таким образом	16	23
84	но что	9	22
85	но –	5	22
86	я не	7	22
87	она не	9	21
88	что не	11	21
89	должна быть	8	21
90	в чем	10	21
91	допустим что	3	21
92	в каком	6	20
93	только тогда	4	20
94	что все	2	20
95	только в	23	20
96	как раз	16	20
97	и вообще	6	20
98	– как	8	20
99	что и	11	20
100	совершенно не	11	20
101	о том	11	20
102	уже не	15	20
103	и с	11	20
104	и притом	4	19
105	как же	6	19
106	в своем	9	19
107	что мы	17	19
108	как это	4	19
109	не менее	11	19
110	и это	17	19
111	тогда когда	5	19
112	в самом	13	19
113	не существует	4	19
114	и его	4	19
115	иное как	12	18
116	не что	12	18
117	что иное	12	18
118	что же	17	18
119	с другой	8	18
120	хотя бы	9	18
121	же время	4	18
122	ни на	7	18
123	жизни и	6	18
124	но если	12	17
125	в основе	4	17
126	той или	3	17
127	в сущности	7	17
128	можно сказать	8	17
129	должно быть	8	17
130	в особенности	3	17
131	он есть	2	17
132	другими словами	9	16
133	утверждаю что	4	16
134	в своей	6	16
135	мы не	8	16
136	нет ничего	2	16
137	кроме того	5	16
138	только не	5	16
139	сам по	4	16
140	или не	7	16
141	она –	6	16
142	к нему	3	16
143	да и	5	16
144	есть просто	6	16
145	одно и	6	16
146	то это	5	16
147	об этом	5	16
148	тем не	11	16
149	само по	4	16
150	конечно не	2	16
151	– и	2	15
152	и о	4	15
153	не мешает	4	15
154	быть и	5	15
155	то в	4	15
156	сознания и	2	15
157	только что	2	15
158	также и	9	15
159	но только	4	15
160	все же	18	15
161	так же	4	15
162	в виде	3	15
163	самом деле	7	15
164	хотя и	5	15
165	и мы	5	15
166	же и	2	15
167	на то	9	15
168	несмотря на	6	15
169	мы уже	3	15
170	и потому	8	14
171	что тут	7	14
172	жизнь и	2	14
173	и ее	19	14
174	я уже	2	14
175	д и	11	14
176	ни с	8	14
177	с ним	8	14
178	даже и	5	14
179	есть то	12	14
180	же это	5	14
181	– все	2	14
182	не было	4	14
183	и только	11	14
184	ни о	3	13
185	и следовательно	20	13
186	в силу	4	13
187	не то	4	13
188	но в	8	13
189	в ней	14	13
190	и та	2	13
191	время как	4	13
192	отличается от	8	13
193	говорит о	3	13
194	он не	4	13
195	что именно	4	13
196	собственно говоря	5	13
197	мы находим	5	13
198	что они	12	13
199	другой стороны	3	13
200	с ее	10	13
201	в смысле	22	13
202	я утверждаю	4	13
203	оно –	6	12
204	вопрос о	6	12
205	еще не	12	12
206	и тут	7	12
207	не говорит	3	12
208	все эти	5	12
209	никак не	7	12
210	все равно	6	12
211	именно в	2	12
212	и если	5	12
213	вещей и	12	12
214	перед нами	3	12
215	но как	3	12
216	даже не	8	12
217	но тогда	5	12
218	и ни	3	12
