N	2gram	Bakhtin_Pr	NovoeSre
1	а не	19	17
2	и в	83	16
3	не может	18	16
4	нового времени	8	12
5	и не	41	11
6	истории и	2	9
7	в эпоху	12	9
8	что в	5	9
9	жизни и	13	8
10	в том	22	8
11	он не	5	8
12	может быть	23	7
13	средние века	12	7
14	как и	13	7
15	в этом	24	7
16	никогда не	10	6
17	ни в	4	6
18	не в	10	6
19	не знает	8	6
20	но это	7	6
21	с его	4	6
22	не только	14	5
23	в жизни	14	5
24	все это	11	5
25	в нем	21	5
26	с ее	3	5
27	в ней	8	5
28	и к	13	5
29	xix века	2	5
30	должно быть	4	4
31	по своему	6	4
32	в них	4	4
33	и для	5	4
34	прежде всего	20	4
35	не менее	4	4
36	не было	5	4
37	и потому	6	4
38	то что	14	4
39	о том	3	4
40	новое время	4	4
41	это не	10	4
42	потому что	9	4
43	и все	14	4
44	смысле слова	2	3
45	в мире	8	3
46	но и	16	3
47	к жизни	2	3
48	с другой	4	3
49	в ее	3	3
50	она не	4	3
51	к тому	2	3
52	жизни в	4	3
53	в своей	5	3
54	еще не	10	3
55	к ним	5	3
56	жизни не	2	3
57	в истории	4	3
58	человека и	10	3
59	перейти к	2	3
60	в новое	4	3
61	как в	10	3
62	конечно не	11	3
63	за пределы	7	3
64	в духе	10	3
65	сказать что	12	3
66	во всех	15	3
67	это было	3	3
68	бога и	2	3
69	наряду с	6	3
70	в основе	6	3
71	в средние	11	3
72	в себе	10	2
73	что она	2	2
74	как будто	3	2
75	все они	2	2
76	и с	10	2
77	одна из	9	2
78	формы и	3	2
79	для этого	2	2
80	но не	9	2
81	нет и	3	2
82	и т.п	42	2
83	что все	3	2
84	и от	4	2
85	не могли	2	2
86	и это	3	2
87	хотя бы	6	2
88	и заключается	2	2
89	а в	4	2
90	все время	2	2
91	но в	12	2
92	том что	9	2
93	не к	3	2
94	можно назвать	2	2
95	и на	27	2
96	с этим	3	2
97	есть в	7	2
98	и что	3	2
99	все эти	9	2
100	мы не	7	2
101	к самой	2	2
102	на протяжении	5	2
103	в смысле	2	2
104	жизнью в	2	2
105	можно было	2	2
106	связаны с	3	2
107	мира и	3	2
108	у него	5	2
109	самой жизни	2	2
110	времени и	4	2
111	уже не	5	2
112	по существу	7	2
113	с их	3	2
114	как это	2	2
115	другой стороны	3	2
116	так же	4	2
117	так и	9	2
118	нем нет	3	2
119	могут быть	5	2
120	жизни как	4	2
121	силы и	2	2
122	но для	2	2
123	но она	3	2
124	в то	8	2
125	века и	6	2
126	хотя и	10	2
127	связана с	3	2
128	мысли и	2	2
129	мы говорим	2	2
130	этом смысле	5	2
131	и формы	2	2
132	xviii века	3	2
133	место в	3	2
134	и даже	5	2
135	в центре	4	2
136	вместе с	5	2
137	я не	6	2
