N	2gram	Bakhtin_Pr	Sovremen
1	не может	26	17
2	точки зрения	31	12
3	может быть	43	12
4	таким образом	15	11
5	мы не	4	9
6	в каждом	15	8
7	и в	64	7
8	в этом	33	7
9	и не	55	6
10	ничего не	8	6
11	как и	25	6
12	в результате	7	6
13	что же	9	5
14	с точки	21	5
15	все эти	13	5
16	и наконец	7	5
17	в условиях	2	5
18	прежде всего	16	5
19	вопрос о	3	4
20	зависимости от	5	4
21	это не	12	4
22	не только	26	4
23	в том	12	4
24	в зависимости	5	4
25	мы должны	3	4
26	как бы	33	4
27	их в	8	4
28	так как	9	4
29	точку зрения	7	4
30	если мы	3	4
31	в целом	8	4
32	жизни и	3	4
33	а в	10	4
34	из них	3	4
35	с помощью	2	4
36	для нас	2	3
37	и мы	2	3
38	он может	4	3
39	ведь это	4	3
40	и потому	7	3
41	но в	14	3
42	при этом	8	3
43	не в	15	3
44	все же	11	3
45	он в	3	3
46	как он	3	3
47	было бы	8	3
48	уже в	5	3
49	в себе	11	3
50	еще не	10	3
51	одна из	5	3
52	у нас	3	3
53	и все	6	3
54	все это	9	3
55	в нем	28	3
56	между собой	2	3
57	а не	29	3
58	в первом	2	3
59	и к	5	3
60	всех элементов	2	3
61	что она	7	3
62	в этой	5	3
63	то же	18	3
64	в одном	20	3
65	отличается от	5	3
66	самого начала	2	3
67	в конце	8	3
68	но все	6	2
69	только так	2	2
70	на его	2	2
71	на этот	4	2
72	всяком случае	4	2
73	что все	2	2
74	конечно в	2	2
75	значение в	2	2
76	быть и	2	2
77	не менее	3	2
78	той же	8	2
79	не могут	10	2
80	мы видим	3	2
81	в его	30	2
82	он должен	2	2
83	с этим	3	2
84	и пр	5	2
85	и что	5	2
86	то и	3	2
87	во всяком	7	2
88	пока наконец	2	2
89	и во	3	2
90	с другом	3	2
91	что такое	2	2
92	приводит к	8	2
93	из этих	3	2
94	так сказать	9	2
95	в самом	17	2
96	она может	2	2
97	и есть	3	2
98	или же	2	2
99	еще более	2	2
100	что в	11	2
101	времени и	2	2
102	в настоящее	3	2
103	совершенно не	5	2
104	все те	3	2
105	в таком	3	2
106	в которой	2	2
107	у него	11	2
108	из одного	8	2
109	такой же	4	2
110	самом деле	10	2
111	со всеми	2	2
112	каждая из	2	2
113	уже не	15	2
114	то ни	3	2
115	если же	7	2
116	в нашем	2	2
117	и они	2	2
118	для его	4	2
119	могут быть	9	2
120	в один	2	2
121	в отличие	4	2
122	отличие от	4	2
123	настоящее время	3	2
124	тот же	2	2
125	на этом	2	2
126	как мы	13	2
127	не дает	3	2
128	что это	2	2
129	тем не	2	2
130	на котором	3	2
131	из которых	3	2
132	и даже	5	2
133	тем же	3	2
134	на их	2	2
135	друг с	4	2
