N	3gram	Bakhtin_Pr	EvropaiE
1	с точки зрения	21	16
2	в то же	10	15
3	то же время	10	14
4	и в то	3	8
5	в том что	10	6
6	этой точки зрения	3	5
7	для того чтобы	3	5
8	так же как	4	5
9	как нам кажется	2	5
10	то ни было	2	4
11	бы то ни	3	4
12	той или иной	3	4
13	не только в	2	4
14	и в этом	8	4
15	само по себе	4	4
16	во всяком случае	3	3
17	же как и	3	3
18	в этом отношении	7	3
19	можно сказать что	3	3
20	в этом смысле	12	3
21	хотя бы и	3	3
22	можно было бы	4	3
23	друг с другом	4	3
24	в той или	2	3
25	в данном случае	3	2
26	в одном из	3	2
27	с другой стороны	3	2
28	нам кажется что	2	2
29	друг от друга	2	2
30	но не только	2	2
31	дело идет о	4	2
32	в большинстве случаев	3	2
33	но в то	5	2
34	как мы видели	3	2
35	заключается в том	2	2
36	мы можем сказать	2	2
37	по нашему мнению	3	2
38	по сравнению с	2	2
39	не может быть	8	2
