N	3gram	Medvedev_V	Formalny
1	не может быть	8	29
2	то же время	5	20
3	в то же	5	20
4	и т д	16	19
5	и т п	9	18
6	во всяком случае	2	16
7	в связи с	4	16
8	по отношению к	7	12
9	в этом отношении	14	11
10	в зависимости от	5	10
11	и не может	2	9
12	с другой стороны	8	9
13	для того чтобы	3	8
14	до сих пор	2	8
15	вместе с тем	4	8
16	с одной стороны	2	8
17	более или менее	6	7
18	в художественном произведении	4	6
19	и в то	3	6
20	не только не	2	6
21	в том что	5	6
22	одной стороны и	2	5
23	к тому что	4	5
24	в конце концов	2	4
25	хотя бы в	3	4
26	не могут быть	4	4
27	подобно тому как	3	4
28	не в том	2	4
29	т е в	2	3
30	в том числе	2	3
31	только то что	2	3
32	таким образом не	3	3
33	в противном случае	2	3
34	том числе и	2	3
35	так и от	2	3
36	в том чтобы	2	3
37	равно как и	4	3
38	от того что	2	2
39	иметь в виду	2	2
40	действительности и ее	2	2
41	в своем творчестве	3	2
42	этой точки зрения	2	2
43	в этом процессе	2	2
44	не только в	2	2
45	мы видели что	3	2
46	о том как	3	2
47	хотя бы и	5	2
48	в процессе художественного	3	2
