N	3gram	Bakhtin_Fr	EvropaiE
1	с точки зрения	6	16
2	в то же	5	15
3	то же время	5	14
4	с одной стороны	2	8
5	и в то	2	8
6	в том что	6	6
7	для того чтобы	2	5
8	той или иной	5	4
9	не только в	5	4
10	и прежде всего	4	3
11	во всяком случае	2	3
12	в применении к	3	3
13	как бы ни	2	3
14	в этом отношении	5	3
15	можно сказать что	3	3
16	друг с другом	2	3
17	в той или	5	3
18	во второй половине	2	2
19	но не только	2	2
20	и в частности	2	2
21	в большинстве случаев	2	2
22	но в то	2	2
23	так и в	3	2
24	как мы видели	2	2
25	по сравнению с	2	2
26	не может быть	5	2
