N	3gram	Ircho_Kome	Freidism
1	по отношению к	5	11
2	в том что	13	9
3	во всяком случае	4	8
4	в то же	5	6
5	то же время	5	6
6	в большинстве случаев	2	5
7	с самого начала	2	5
8	тем не менее	2	4
9	в этом отношении	3	4
10	бы то ни	4	3
11	о том что	6	3
12	для того чтобы	3	3
13	до сих пор	3	3
14	то ни было	4	2
15	то же самое	2	2
16	к этому времени	3	2
17	том что он	4	2
18	к тому что	3	2
19	таким образом в	2	2
20	в отличие от	3	2
21	в конце концов	4	2
22	у нас в	2	2
23	с одной стороны	5	2
24	что и в	2	2
25	в этом смысле	2	2
26	по меньшей мере	2	2
