N	2gram	Bakhtin_Pr	DiskursI
1	а не	29	60
2	может быть	43	56
3	не только	26	49
4	и в	64	49
5	как и	25	47
6	при этом	8	46
7	в том	12	44
8	и не	55	44
9	то есть	3	41
10	том что	8	40
11	в этом	33	38
12	в себе	11	37
13	но и	26	35
14	но не	12	31
15	так и	8	28
16	отличие от	4	28
17	но в	14	28
18	не может	26	27
19	в отличие	4	27
20	как в	7	25
21	в рамках	2	23
22	еще не	10	23
23	все же	11	19
24	прежде всего	16	19
25	в нем	28	19
26	в своей	11	19
27	в основе	4	18
28	далеко не	7	18
29	по отношению	12	17
30	в данном	2	17
31	то же	18	17
32	с другой	7	17
33	отношению к	12	17
34	в мире	7	17
35	точки зрения	31	16
36	только в	13	16
37	в его	30	15
38	то что	21	15
39	о том	5	15
40	это не	12	14
41	не в	15	14
42	не менее	3	14
43	можно сказать	2	14
44	в целом	8	13
45	для него	23	13
46	как бы	33	13
47	данном случае	2	12
48	в своем	12	12
49	и все	6	12
50	того же	3	12
51	при всей	2	12
52	в своих	4	12
53	и на	16	12
54	что в	11	11
55	по природе	2	11
56	с его	11	11
57	и как	9	11
58	не было	5	11
59	для себя	3	10
60	а в	10	10
61	а с	2	10
62	вследствие этого	2	10
63	также и	3	10
64	же время	13	10
65	в то	15	9
66	героя в	7	9
67	между тем	7	9
68	в них	5	9
69	уже не	15	9
70	себя в	3	9
71	человека в	8	8
72	этом отношении	3	8
73	и о	7	8
74	к тому	4	8
75	потому что	8	8
76	не на	7	8
77	хотя и	5	8
78	в противоположность	2	8
79	и даже	5	8
80	в этих	5	8
81	в себя	6	8
82	в котором	7	8
83	в творчестве	6	8
84	в одном	20	8
85	из них	3	8
86	совпадает с	2	8
87	он не	14	8
88	перед нами	12	7
89	его в	8	7
90	могут быть	9	7
91	и ее	5	7
92	приводит к	8	7
93	и для	7	7
94	но это	6	7
95	в процессе	6	7
96	что и	7	7
97	например в	5	7
98	в этой	5	7
99	другой стороны	6	7
100	мира в	5	7
101	лишь в	4	7
102	в рассказе	2	7
103	в пределах	24	7
104	ни в	5	7
105	я в	2	7
106	той же	8	7
107	и его	21	7
108	таким образом	15	7
109	нового времени	3	7
110	тому же	2	7
111	никогда не	11	6
112	в одной	8	6
113	не как	20	6
114	отношение к	4	6
115	что он	15	6
116	не знает	6	6
117	одно из	2	6
118	в контексте	2	6
119	именно в	5	6
120	тому как	3	6
121	однако в	3	6
122	что же	9	6
123	здесь не	7	6
124	крайней мере	2	6
125	в сущности	10	6
126	в истории	2	6
127	в ее	2	6
128	одна из	5	6
129	то в	2	6
130	дело в	2	6
131	во всех	4	6
132	и одновременно	3	6
133	героя и	14	6
134	времени и	2	6
135	по крайней	2	6
136	в которых	4	6
137	с точки	21	6
138	ничего не	8	5
139	к себе	6	5
140	в другом	3	5
141	в виду	3	5
142	в их	6	5
143	не всегда	2	5
144	и потому	7	5
145	того что	3	5
146	о нем	15	5
147	стороны и	4	5
148	для своего	2	5
149	мира и	7	5
150	несмотря на	7	5
151	один из	3	5
152	здесь в	2	5
153	того как	3	5
154	как будто	4	5
155	сказать что	4	5
156	но при	4	5
157	из этих	3	5
158	так сказать	9	5
159	за пределы	7	5
160	во второй	2	5
161	я и	2	5
162	себе не	2	5
163	но они	2	5
164	известной степени	2	5
165	в литературе	4	5
166	подобно тому	3	5
167	оно не	3	5
168	зрения на	8	5
169	может служить	3	5
170	на этом	2	5
171	в сторону	2	5
172	в той	5	5
173	как раз	9	5
174	по своим	4	5
175	в ней	2	5
176	тем что	6	5
177	не о	3	4
178	до конца	10	4
179	не могут	10	4
180	слова не	2	4
181	мире в	3	4
182	в речах	2	4
183	одном из	2	4
184	и др	7	4
185	в произведении	7	4
186	и это	8	4
187	более того	8	4
188	только на	3	4
189	его на	2	4
190	на его	2	4
191	что не	3	4
192	и до	6	4
193	и во	3	4
194	того и	4	4
195	в первом	2	4
196	должны быть	3	4
197	во всяком	7	4
198	это в	2	4
199	в результате	7	4
200	по преимуществу	2	4
201	отличается от	5	4
202	по мере	4	4
203	тем не	2	4
204	я не	6	4
205	связи с	3	4
206	одним из	7	4
207	опирается на	2	4
208	в какой	2	4
209	есть в	2	4
210	в жизни	5	4
211	в самом	17	4
212	не есть	4	4
213	и к	5	4
214	со своим	2	4
215	жизни а	3	4
216	по себе	16	4
217	настоящего времени	2	4
218	к другому	6	4
219	высказывания и	3	4
220	точка зрения	13	4
221	или в	7	4
222	и само	2	4
223	и есть	3	4
224	с ним	8	4
225	вопрос о	3	3
226	идет о	5	3
227	указывает на	2	3
228	речи как	3	3
229	в форме	8	3
230	к которому	2	3
231	это и	5	3
232	в одно	4	3
233	в формах	3	3
234	в каждой	2	3
235	как на	4	3
236	своего времени	2	3
237	а его	2	3
238	в структуре	3	3
239	но как	4	3
240	значение для	3	3
241	но так	2	3
242	бытия в	3	3
243	в точке	2	3
244	она не	10	3
245	на том	2	3
246	в едином	4	3
247	они не	5	3
248	он говорит	2	3
249	более или	4	3
250	об этом	3	3
251	заметить что	2	3
252	в романе	12	3
253	героя как	2	3
254	на себя	4	3
255	рассказ в	3	3
256	из возможных	2	3
257	между собой	2	3
258	но здесь	4	3
259	и он	5	3
260	для этого	3	3
261	все эти	13	3
262	было бы	8	3
263	мы не	4	3
264	должна быть	8	3
265	и всякое	3	3
266	принадлежащих к	2	3
267	и герой	3	3
268	на языке	2	3
269	как мы	13	3
270	себе самому	6	3
271	к миру	3	3
272	да и	2	3
273	и от	3	3
274	герой не	2	3
275	произведения как	2	3
276	с этим	3	3
277	его как	5	3
278	особенно в	2	3
279	с их	7	3
280	хотя бы	4	3
281	в которой	2	3
282	который не	2	3
283	как не	9	3
284	и наконец	7	3
285	автора и	7	3
286	образ человека	2	3
287	или менее	4	3
288	но все	6	3
289	отношения к	5	3
290	не имеет	2	3
291	является в	2	3
292	их в	8	3
293	когда он	2	3
294	входит в	9	3
295	личности в	4	3
296	на почве	5	3
297	уже в	5	3
298	всяком случае	4	3
299	жизни и	3	3
300	слова в	12	3
301	то ни	3	3
302	или даже	2	3
303	и сам	6	3
304	в большинстве	11	3
305	слова и	8	3
306	о себе	19	3
307	в первых	2	3
308	и что	5	3
309	жизни не	2	3
310	однако не	3	3
311	тем же	3	3
312	в художественной	2	2
313	точкой зрения	2	2
314	в книге	2	2
315	ему не	2	2
316	в отношении	5	2
317	к одному	7	2
