N	2gram	Voloshinov	Sovremen
1	не может	40	17
2	точки зрения	48	12
3	может быть	50	12
4	таким образом	29	11
5	мы не	6	9
6	в каждом	8	8
7	и в	32	7
8	в этом	27	7
9	и не	42	6
10	ничего не	9	6
11	как и	19	6
12	в результате	9	6
13	каждый раз	3	6
14	мы можем	6	6
15	что же	5	5
16	с точки	31	5
17	все эти	8	5
18	в условиях	5	5
19	организма с	2	5
20	прежде всего	19	5
21	нет и	4	4
22	вопрос о	6	4
23	мы видели	5	4
24	зависимости от	4	4
25	это не	5	4
26	не только	18	4
27	в том	13	4
28	в зависимости	2	4
29	мы должны	4	4
30	как бы	31	4
31	так как	5	4
32	точку зрения	4	4
33	если мы	17	4
34	в дальнейшем	3	4
35	в целом	2	4
36	жизни и	4	4
37	вместе с	2	4
38	а в	5	4
39	из них	3	4
40	с помощью	11	4
41	и т.д	6	3
42	следующим образом	2	3
43	он может	3	3
44	и потому	7	3
45	на этой	6	3
46	но в	13	3
47	с самого	9	3
48	при этом	13	3
49	не в	13	3
50	все же	13	3
51	как он	3	3
52	было бы	8	3
53	в области	3	3
54	уже в	3	3
55	в себе	5	3
56	еще не	7	3
57	одна из	6	3
58	у нас	4	3
59	и все	8	3
60	все это	4	3
61	в нем	17	3
62	между собой	3	3
63	а не	15	3
64	в первом	3	3
65	и к	3	3
66	в этой	3	3
67	то же	19	3
68	в одном	2	3
69	самого начала	9	3
70	отнюдь не	14	3
71	в конце	5	3
72	в системе	3	3
73	ясно что	6	3
74	но все	4	2
75	на этот	3	2
76	же самое	9	2
77	всяком случае	4	2
78	что все	3	2
79	конечно в	4	2
80	значение в	5	2
81	быть и	9	2
82	можно назвать	2	2
83	не менее	5	2
84	той же	5	2
85	не могут	4	2
86	мы видим	2	2
87	в его	10	2
88	с этим	6	2
89	и пр	31	2
90	говорить об	2	2
91	и что	2	2
92	во всяком	8	2
93	и во	2	2
94	с другом	2	2
95	что такое	3	2
96	в науке	6	2
97	приводит к	3	2
98	свою очередь	5	2
99	из этих	3	2
100	тот или	2	2
101	так сказать	19	2
102	в самом	14	2
103	она может	3	2
104	и есть	3	2
105	или же	2	2
106	что в	5	2
107	в настоящее	6	2
108	совершенно не	6	2
109	все те	4	2
110	в таком	8	2
111	реальный момент	2	2
112	в которой	4	2
113	у него	2	2
114	из одного	4	2
115	самом деле	18	2
116	в живом	2	2
117	уже не	2	2
118	в свою	6	2
119	то ни	12	2
120	если же	2	2
121	в нашем	4	2
122	не будем	4	2
123	могут быть	4	2
124	в отличие	7	2
125	же мы	2	2
126	отличие от	7	2
127	самый вопрос	2	2
128	настоящее время	6	2
129	тот же	4	2
130	с одной	2	2
131	как мы	26	2
132	говорить о	2	2
133	не дает	4	2
134	мы знаем	7	2
135	что это	3	2
136	или иной	8	2
137	тем не	3	2
138	из которых	2	2
139	и даже	4	2
140	тем же	4	2
141	друг с	2	2
