N	2gram	Savitsky_P	EvropaiE
1	и в	14	37
2	в отношении	10	32
3	в пределах	8	25
4	точки зрения	3	23
5	что в	4	21
6	не только	17	18
7	с точки	3	17
8	в то	7	16
9	отношении к	5	15
10	хотя бы	8	15
11	то же	9	15
12	в своем	4	14
13	но в	9	14
14	но и	6	14
15	и не	12	14
16	же время	7	14
17	в качестве	9	14
18	старого света	9	14
19	в этом	10	12
20	россия в	3	11
21	в том	9	11
22	в области	11	11
23	н с	2	11
24	т е	3	9
25	в смысле	6	9
26	не может	4	9
27	отнюдь не	2	9
28	в себе	3	9
29	прежде всего	3	9
30	только в	7	9
31	одной стороны	3	8
32	между тем	3	8
33	в ее	2	8
34	думать что	2	8
35	было бы	6	8
36	с одной	3	8
37	с другой	5	7
38	а также	4	7
39	между прочим	2	7
40	того что	2	7
41	том что	4	6
42	в последние	2	6
43	вслед за	3	6
44	во всех	2	6
45	может быть	5	6
46	стороны и	2	6
47	для того	3	6
48	то что	4	6
49	как бы	4	6
50	но не	3	5
51	тем самым	3	5
52	и потому	4	5
53	столь же	3	5
54	в россии	3	5
55	которую мы	2	5
56	со стороны	2	5
57	не в	5	5
58	в виде	2	5
59	в частности	2	5
60	в перспективе	2	4
61	на путях	4	4
62	культуры в	2	4
63	именно в	2	4
64	в полной	2	4
65	мы не	3	4
66	в ней	6	4
67	для нас	2	4
68	по себе	4	4
69	россии в	5	4
70	тем более	2	4
71	весьма вероятно	2	4
72	с тем	3	3
73	российского мира	2	3
74	европейской культуры	4	3
75	россии как	3	3
76	северной америке	3	3
77	в общем	2	3
78	время в	2	3
79	в которых	5	3
80	в сфере	2	3
81	бы ни	2	3
82	и к	4	3
83	из них	2	3
84	в них	2	3
85	и мы	2	3
86	и тем	2	3
87	потому что	3	3
88	заключает в	2	3
89	как на	2	3
90	россии и	4	3
91	есть в	2	2
92	исключительно в	2	2
93	и если	4	2
94	в мире	2	2
95	если в	2	2
96	в его	2	2
97	в эту	2	2
98	помнить что	2	2
99	а в	4	2
100	с этим	2	2
101	мы должны	4	2
102	в котором	4	2
103	и с	2	2
104	не нужно	2	2
105	могут быть	3	2
106	в значительной	2	2
107	хозяйства и	2	2
108	и как	3	2
109	в порядке	3	2
110	с т	4	2
111	есть не	2	2
112	если бы	4	2
113	которое в	2	2
114	для них	2	2
115	но также	4	2
116	в силу	2	2
117	еще более	2	2
118	более чем	2	2
119	а не	2	2
120	и других	2	2
121	сказывается в	2	2
122	в гораздо	4	2
123	другие народы	2	2
124	же в	4	2
125	наряду с	3	2
126	по сравнению	2	2
127	во всей	2	2
128	главным образом	2	2
129	не к	2	2
130	в северной	2	2
131	хотя и	3	2
132	русская революция	4	2
133	заключается в	3	2
