N	3gram	Bakhtin_Pr	Russkaja
1	друг с другом	4	14
2	то же время	10	10
3	в то же	10	10
4	с точки зрения	21	9
5	в том что	10	7
6	для того чтобы	3	6
7	во всяком случае	3	6
8	на самом деле	4	6
9	до сих пор	3	5
10	бы то ни	3	4
11	не может быть	8	4
12	в конце концов	7	3
13	в лучшем случае	3	3
14	в данном случае	3	3
15	той или иной	3	3
16	можно было бы	4	3
17	и не может	3	3
18	и в том	2	2
19	в том и	2	2
20	в большинстве случаев	3	2
21	она не может	3	2
22	о том что	5	2
23	сама по себе	3	2
24	друг от друга	2	2
