N	3gram	Tiupa_Anal	EvropaiE
1	с точки зрения	6	16
2	в то же	9	15
3	то же время	7	14
4	с одной стороны	6	8
5	в том что	13	6
6	этой точки зрения	2	5
7	для того чтобы	3	5
8	с этой точки	2	5
9	то ни было	3	4
10	бы то ни	3	4
11	той или иной	8	4
12	не только в	3	4
13	и в этом	4	4
14	того или иного	3	4
15	в известном смысле	2	3
16	в этом отношении	5	3
17	в этом смысле	3	3
18	друг с другом	2	3
19	в той или	3	3
20	из того что	3	2
21	в частности в	2	2
22	прежде всего в	2	2
23	в данном случае	3	2
24	с другой стороны	2	2
25	тому или иному	2	2
26	того что в	2	2
27	на то что	2	2
28	но в то	2	2
29	не более чем	4	2
30	не может быть	17	2
